raman_shift_cm-1,intensity
100.0,0.0
101.8573,0.0
103.7146,0.0
105.5718,0.0
107.4291,0.0
109.2864,0.0
111.1437,0.0
113.001,0.0
114.8583,0.0
116.7155,0.0
118.5728,0.0
120.4301,0.0
122.2874,0.0
124.1447,0.0
126.002,0.0
127.8592,0.0
129.7165,0.0
131.5738,0.0
133.4311,0.0
135.2884,0.0
137.1457,0.0
139.0029,0.0
140.8602,0.0
142.7175,0.0
144.5748,0.0
146.4321,0.0
148.2893,0.0
150.1466,0.0
152.0039,0.0
153.8612,0.0
155.7185,0.0
157.5758,0.0
159.433,0.0
161.2903,0.0
163.1476,0.0
165.0049,0.0
166.8622,0.0
168.7195,0.0
170.5767,0.0
172.434,0.0
174.2913,0.0
176.1486,0.0
178.0059,0.0
179.8631,0.0
181.7204,0.0
183.5777,0.0
185.435,0.0
187.2923,0.0
189.1496,0.0
191.0068,0.0
192.8641,0.0
194.7214,0.0
196.5787,0.0
198.436,0.0
200.2933,0.0
202.1505,0.0
204.0078,0.0
205.8651,0.0
207.7224,0.0
209.5797,0.0
211.437,0.0
213.2942,0.0
215.1515,0.0
217.0088,0.0
218.8661,0.0
220.7234,0.0
222.5806,0.0
224.4379,0.0
226.2952,0.0
228.1525,0.0
230.0098,0.0
231.8671,0.0
233.7243,0.0
235.5816,0.0
237.4389,0.0
239.2962,0.0
241.1535,0.0
243.0108,0.0
244.868,0.0
246.7253,0.0
248.5826,0.0
250.4399,0.0
252.2972,0.0
254.1544,0.0
256.0117,0.0
257.869,0.0
259.7263,0.0
261.5836,0.0
263.4409,0.0
265.2981,0.0
267.1554,0.0
269.0127,0.0
270.87,0.0
272.7273,0.0
274.5846,0.0
276.4418,0.0
278.2991,0.0
280.1564,0.0
282.0137,0.0
283.871,0.0
285.7283,0.0
287.5855,0.0
289.4428,0.0
291.3001,0.0
293.1574,0.0
295.0147,0.0
296.8719,0.0
298.7292,0.0
300.5865,0.0
302.4438,0.0
304.3011,0.0
306.1584,0.0
308.0156,0.0
309.8729,0.0
311.7302,0.0
313.5875,0.0
315.4448,0.0
317.3021,0.0
319.1593,0.0
321.0166,0.0
322.8739,0.0
324.7312,0.0
326.5885,0.0
328.4457,0.0
330.303,0.0
332.1603,0.0
334.0176,0.0
