raman_shift_cm-1,intensity
100.0,1067.8401
101.8573,130.3844
103.7146,2383.8072
105.5718,1221.4744
107.4291,209.9637
109.2864,-499.4473
111.1437,782.3901
113.001,983.3762
114.8583,430.4701
116.7155,1715.0905
118.5728,1219.6095
120.4301,1051.0058
122.2874,583.0273
124.1447,779.625
126.002,720.2766
127.8592,972.7838
129.7165,377.3888
131.5738,837.6672
133.4311,563.4378
135.2884,973.9785
137.1457,-8.7163
139.0029,-347.4425
140.8602,-644.292
142.7175,-774.8773
144.5748,-1551.8205
146.4321,136.8756
148.2893,1303.0499
150.1466,158.8026
152.0039,-78.6858
153.8612,88.803
155.7185,-86.8698
157.5758,-42.1149
159.433,-838.604
161.2903,1660.4957
163.1476,647.6775
165.0049,-375.1954
166.8622,308.8908
168.7195,-915.375
170.5767,-521.9273
172.434,297.9485
174.2913,-928.3186
176.1486,1648.4219
178.0059,131.735
179.8631,750.9488
181.7204,-179.2043
183.5777,277.07
185.435,-1005.5877
187.2923,-180.967
189.1496,-39.2505
191.0068,-466.8976
192.8641,-397.5166
194.7214,-1320.5995
196.5787,954.092
198.436,-243.8387
200.2933,-773.8386
202.1505,186.5638
204.0078,-401.4649
205.8651,-939.1434
207.7224,-398.6042
209.5797,47.4947
211.437,-309.8301
213.2942,-170.6989
215.1515,1912.3499
217.0088,123.3779
218.8661,923.1539
220.7234,-388.3569
222.5806,1289.7906
224.4379,-101.5788
226.2952,108.3689
228.1525,299.0533
230.0098,578.7988
231.8671,-333.2079
233.7243,331.1734
235.5816,668.4262
237.4389,1166.0206
239.2962,270.8038
241.1535,140.0464
243.0108,743.9422
244.868,1014.5053
246.7253,-1711.6511
248.5826,137.8971
250.4399,1489.5553
252.2972,181.9077
254.1544,-429.0292
256.0117,-171.9521
257.869,-636.7179
259.7263,980.8282
261.5836,-180.2509
263.4409,1496.9545
265.2981,-913.591
267.1554,455.3312
269.0127,709.3295
270.87,1303.0264
272.7273,956.8034
274.5846,-206.5497
276.4418,-1528.8671
278.2991,-389.4498
280.1564,171.9341
282.0137,195.2391
283.871,-431.5728
285.7283,1196.5418
287.5855,1486.155
289.4428,1207.3968
291.3001,129.0396
293.1574,-994.7318
295.0147,1041.2592
296.8719,-268.7095
298.7292,2289.0899
300.5865,208.5273
302.4438,38.3682
304.3011,1028.8227
306.1584,1124.1413
308.0156,207.9361
309.8729,570.6208
311.7302,1341.6641
313.5875,581.7462
315.4448,590.3142
317.3021,467.5537
319.1593,-1260.5905
321.0166,725.1363
322.8739,599.6948
324.7312,-368.8003
326.5885,102.5474
328.4457,374.0736
330.303,728.2517
332.1603,-245.2781
334.0176,-216.9957
335.8749,27.1863
337.7322,502.2405
339.5894,952.0699
341.4467,564.1347
343.304,658.2452
345.1613,900.582
347.0186,-1129.4558
348.8759,1127.713
350.7331,119.4155
352.5904,71.0734
354.4477,-1017.5722
356.305,-1340.4496
358.1623,231.3811
360.0196,942.8691
361.8768,1693.7374
363.7341,-610.443
365.5914,457.598
367.4487,500.6615
369.306,229.8246
371.1632,1077.4449
373.0205,4.3592
374.8778,-602.8562
376.7351,1285.3
378.5924,830.5775
380.4497,-397.3212
382.3069,-501.2601
384.1642,-618.9479
386.0215,902.0352
387.8788,-361.1025
389.7361,1353.3009
391.5934,1119.4624
393.4506,-708.0986
395.3079,1653.3453
397.1652,1251.1217
399.0225,1093.1613
400.8798,645.9877
402.737,806.2275
404.5943,1071.604
406.4516,217.3816
408.3089,-257.8162
410.1662,2035.5043
412.0235,1380.4787
413.8807,1137.8443
415.738,16.5328
417.5953,482.092
419.4526,385.9576
421.3099,724.839
423.1672,756.2423
425.0244,115.7828
426.8817,-133.827
428.739,453.0986
430.5963,676.0986
432.4536,785.0684
434.3109,1662.5389
436.1681,476.6217
438.0254,1877.4489
439.8827,-975.8455
441.74,897.542
443.5973,742.4819
445.4545,1095.6598
447.3118,1094.6872
449.1691,267.3937
451.0264,1406.0547
452.8837,1232.333
454.741,52.0576
456.5982,2020.6424
458.4555,1086.6711
460.3128,3048.864
462.1701,1844.5471
464.0274,2109.9693
465.8847,2732.9521
467.7419,4019.1171
469.5992,4108.2956
471.4565,6451.6428
473.3138,9970.2201
475.1711,18771.1591
477.0283,27291.9682
478.8856,38748.034
480.7429,40279.4015
482.6002,29096.8358
484.4575,20535.6723
486.3148,12437.0817
488.172,8144.8317
490.0293,5796.2934
491.8866,3888.5552
493.7439,3900.2183
495.6012,1721.26
497.4585,703.5618
499.3157,1832.371
501.173,-514.2154
503.0303,2145.1573
504.8876,3073.7254
506.7449,988.6128
508.6022,-86.491
510.4594,-11.0941
512.3167,1978.8111
514.174,1204.674
516.0313,109.1388
517.8886,-249.8148
519.7458,-482.4749
521.6031,-809.972
523.4604,1305.9219
525.3177,257.9773
527.175,1248.5541
529.0323,856.4498
530.8895,1177.9858
532.7468,1479.2719
534.6041,673.3186
536.4614,834.3234
538.3187,1288.7516
540.176,156.8995
542.0332,723.604
543.8905,709.127
545.7478,-1035.5098
547.6051,54.4924
549.4624,460.3043
551.3196,1991.8705
553.1769,1192.072
555.0342,656.1989
556.8915,836.3224
558.7488,2529.2209
560.6061,543.5276
562.4633,383.3749
564.3206,369.8217
566.1779,277.8283
568.0352,-272.8974
569.8925,520.6071
571.7498,1149.8346
573.607,917.7896
575.4643,187.336
577.3216,636.3244
579.1789,591.0168
581.0362,1039.0864
582.8935,-734.2648
584.7507,-438.8351
586.608,494.8322
588.4653,-1012.2307
590.3226,608.6854
592.1799,404.1762
594.0371,446.9907
595.8944,-854.2219
597.7517,-1476.3058
599.609,1411.0289
601.4663,-326.6591
603.3236,755.0237
605.1808,464.8527
607.0381,516.8607
608.8954,1278.153
610.7527,-836.5009
612.61,38.0195
614.4673,124.1933
616.3245,816.2564
618.1818,-1097.1725
620.0391,-692.8455
621.8964,114.5382
623.7537,-962.0244
625.6109,-287.6732
627.4682,-231.8111
629.3255,1694.0045
631.1828,827.1054
633.0401,1143.3159
634.8974,1582.6668
636.7546,292.0613
638.6119,-246.3215
640.4692,1152.2416
642.3265,1770.952
644.1838,1168.0188
646.0411,-1353.4805
647.8983,-121.6145
649.7556,362.0262
651.6129,-1496.7193
653.4702,1205.6071
655.3275,1481.2034
657.1848,-576.6106
659.042,210.0759
660.8993,913.3591
662.7566,338.1644
664.6139,1631.6113
666.4712,-98.9252
668.3284,170.4177
670.1857,561.9736
672.043,-1223.8565
673.9003,445.0477
675.7576,932.1261
677.6149,-413.9233
679.4721,-293.6772
681.3294,379.977
683.1867,-1028.6567
685.044,197.8659
686.9013,-125.9636
688.7586,1200.5806
690.6158,1007.1122
692.4731,-322.4774
694.3304,427.612
696.1877,538.7703
698.045,1058.9127
699.9022,1820.2067
701.7595,-613.9641
703.6168,359.6073
705.4741,538.0277
707.3314,940.22
709.1887,-331.7838
711.0459,-874.6262
712.9032,-41.9257
714.7605,927.9087
716.6178,1353.9914
718.4751,330.736
720.3324,137.2044
722.1896,-30.9862
724.0469,4.6397
725.9042,1023.6353
727.7615,297.6429
729.6188,-287.9703
731.4761,303.903
733.3333,84.2925
735.1906,-504.6607
737.0479,396.4481
738.9052,428.9273
740.7625,934.5897
742.6197,844.5507
744.477,1564.9842
746.3343,-644.7878
748.1916,93.2185
750.0489,583.6012
751.9062,-489.5674
753.7634,315.047
755.6207,-1041.367
757.478,1172.023
759.3353,-1395.1757
761.1926,1236.1065
763.0499,249.1424
764.9071,339.0982
766.7644,129.4624
768.6217,1274.2529
770.479,-832.8782
772.3363,1210.6567
774.1935,1547.9821
776.0508,188.4825
777.9081,-1645.7507
779.7654,651.789
781.6227,-1688.3205
783.48,2529.3915
785.3372,327.6854
787.1945,692.3902
789.0518,2308.4046
790.9091,-321.7555
792.7664,948.2841
794.6237,-114.3775
796.4809,-435.6717
798.3382,543.1288
800.1955,-16.7684
802.0528,1362.1362
803.9101,-116.2365
805.7674,936.9911
807.6246,204.0304
809.4819,947.8809
811.3392,252.7396
813.1965,-936.8969
815.0538,-91.7432
816.911,-144.0433
818.7683,885.3515
820.6256,-49.3668
822.4829,1272.0863
824.3402,1343.5392
826.1975,537.4981
828.0547,297.2243
829.912,-613.6339
831.7693,815.7316
833.6266,1742.3369
835.4839,477.756
837.3412,1027.2053
839.1984,-438.6495
841.0557,937.9649
842.913,495.5376
844.7703,1759.7594
846.6276,1137.5414
848.4848,501.5063
850.3421,-50.3245
852.1994,902.6898
854.0567,-914.2219
855.914,1807.5629
857.7713,1127.5654
859.6285,652.7723
861.4858,166.0446
863.3431,1533.0359
865.2004,2412.7919
867.0577,211.9426
868.915,-305.3184
870.7722,1495.6814
872.6295,1020.8177
874.4868,336.455
876.3441,140.8685
878.2014,-812.0377
880.0587,1399.1224
881.9159,-369.5754
883.7732,-175.3267
885.6305,140.2033
887.4878,537.491
889.3451,-40.7756
891.2023,243.4783
893.0596,1595.6214
894.9169,1470.4674
896.7742,2013.9216
898.6315,333.2838
900.4888,-14.0759
902.346,-103.6537
904.2033,736.3764
906.0606,888.4977
907.9179,1091.451
909.7752,649.837
911.6325,-365.2585
913.4897,400.8263
915.347,41.3852
917.2043,289.4988
919.0616,-1181.1955
920.9189,306.7288
922.7761,2375.2096
924.6334,-486.0158
926.4907,-778.1129
928.348,-504.4328
930.2053,53.3721
932.0626,-47.8268
933.9198,145.3919
935.7771,235.3022
937.6344,720.9234
939.4917,-19.4195
941.349,815.4715
943.2063,242.8941
945.0635,220.2436
946.9208,85.1068
948.7781,1250.3943
950.6354,173.8699
952.4927,-815.1082
954.35,328.8297
956.2072,1110.3052
958.0645,-782.1597
959.9218,-155.1072
961.7791,418.6203
963.6364,-275.5392
965.4936,973.8617
967.3509,-1885.1427
969.2082,-430.2288
971.0655,-264.1153
972.9228,797.2014
974.7801,573.6887
976.6373,1109.5712
978.4946,235.7095
980.3519,516.6865
982.2092,224.0763
984.0665,547.4888
985.9238,36.7827
987.781,-1026.624
989.6383,63.045
991.4956,-95.7757
993.3529,1178.5144
995.2102,-98.0329
997.0674,992.8918
998.9247,-2025.0302
1000.782,998.8999
1002.6393,202.556
1004.4966,76.7405
1006.3539,-739.3834
1008.2111,163.3966
1010.0684,455.1105
1011.9257,993.9096
1013.783,452.9176
1015.6403,206.4098
1017.4976,683.0863
1019.3548,865.2426
1021.2121,802.3785
1023.0694,1092.4746
1024.9267,604.8124
1026.784,212.59
1028.6413,1605.0363
1030.4985,633.782
1032.3558,3646.2474
1034.2131,873.7594
1036.0704,3089.4127
1037.9277,2317.4002
1039.7849,5383.5725
1041.6422,3746.8784
1043.4995,7269.9345
1045.3568,10964.9346
1047.2141,17361.5605
1049.0714,23362.4497
1050.9286,23803.4419
1052.7859,17594.3826
1054.6432,11896.9478
1056.5005,7646.9173
1058.3578,6247.8872
1060.2151,3784.0364
1062.0723,3146.188
1063.9296,2767.8843
1065.7869,1829.0245
1067.6442,932.0847
1069.5015,1486.3626
1071.3587,1826.4228
1073.216,1685.372
1075.0733,1239.7262
1076.9306,680.8219
1078.7879,584.1622
1080.6452,1091.2886
1082.5024,-529.9375
1084.3597,607.485
1086.217,969.9739
1088.0743,-453.8203
1089.9316,2020.7035
1091.7889,-494.7697
1093.6461,-19.4684
1095.5034,-214.0597
1097.3607,-297.8363
1099.218,-300.1118
1101.0753,451.992
1102.9326,2222.619
1104.7898,-98.6073
1106.6471,-336.1149
1108.5044,1106.3781
1110.3617,-747.1057
1112.219,698.1717
1114.0762,369.0176
1115.9335,475.8821
1117.7908,1031.6212
1119.6481,-293.7629
1121.5054,28.6021
1123.3627,-945.6846
1125.2199,216.4306
1127.0772,-232.1512
1128.9345,-416.0664
1130.7918,1112.2009
1132.6491,1373.8215
1134.5064,-531.4613
1136.3636,686.0464
1138.2209,566.2057
1140.0782,-101.9386
1141.9355,-651.0226
1143.7928,1262.5484
1145.65,-13.8419
1147.5073,1598.7199
1149.3646,891.8163
1151.2219,312.1264
1153.0792,-466.7722
1154.9365,1149.7679
1156.7937,145.6622
1158.651,-816.351
1160.5083,793.1585
1162.3656,234.2226
1164.2229,-826.0666
1166.0802,2092.3953
1167.9374,-205.7435
1169.7947,498.7329
1171.652,355.3518
1173.5093,-42.4154
1175.3666,1013.6477
1177.2239,221.2041
1179.0811,-901.6218
1180.9384,-768.3266
1182.7957,60.625
1184.653,1179.5007
1186.5103,-955.066
1188.3675,975.6729
1190.2248,-610.1712
1192.0821,2273.4253
1193.9394,122.9715
1195.7967,-631.2883
1197.654,1078.8948
1199.5112,993.0442
1201.3685,732.8164
1203.2258,1521.114
1205.0831,1769.8037
1206.9404,252.9772
1208.7977,1260.5344
1210.6549,145.0997
1212.5122,832.1018
1214.3695,-332.4702
1216.2268,-1765.7764
1218.0841,399.9525
1219.9413,1569.5012
1221.7986,578.5513
1223.6559,329.5326
1225.5132,677.5753
1227.3705,1426.3172
1229.2278,-769.6225
1231.085,803.0309
1232.9423,1155.8591
1234.7996,-367.7537
1236.6569,-590.6214
1238.5142,253.203
1240.3715,-85.8831
1242.2287,1092.6797
1244.086,1273.6459
1245.9433,1060.2895
1247.8006,1739.6994
1249.6579,331.7282
1251.5152,628.6066
1253.3724,-656.1397
1255.2297,770.4458
1257.087,268.9367
1258.9443,-34.8267
1260.8016,1142.1104
1262.6588,-296.2252
1264.5161,-132.9773
1266.3734,493.1664
1268.2307,-19.2348
1270.088,167.8561
1271.9453,1520.5512
1273.8025,667.2574
1275.6598,1155.9364
1277.5171,816.8873
1279.3744,133.8616
1281.2317,-51.715
1283.089,1072.1571
1284.9462,657.9607
1286.8035,1610.703
1288.6608,-136.3128
1290.5181,899.2697
1292.3754,195.9356
1294.2326,-456.3842
1296.0899,494.0783
1297.9472,164.9393
1299.8045,131.1842
1301.6618,1541.1303
1303.5191,-667.3735
1305.3763,-1711.3514
1307.2336,445.4864
1309.0909,1516.1598
1310.9482,72.3215
1312.8055,725.4584
1314.6628,-676.912
1316.52,350.4216
1318.3773,-820.4789
1320.2346,1511.702
1322.0919,213.0225
1323.9492,-233.7547
1325.8065,-497.4599
1327.6637,1579.9309
1329.521,-443.1045
1331.3783,-1111.4846
1333.2356,642.0105
1335.0929,-779.7506
1336.9501,-178.0347
1338.8074,-532.6899
1340.6647,-395.03
1342.522,-740.8788
1344.3793,892.7727
1346.2366,475.5715
1348.0938,-1428.4942
1349.9511,1125.1815
1351.8084,1776.8013
1353.6657,-593.1957
1355.523,618.1373
1357.3803,705.5371
1359.2375,1756.0352
1361.0948,263.0097
1362.9521,477.0473
1364.8094,-418.3572
1366.6667,-577.2925
1368.5239,1369.7732
1370.3812,974.6371
1372.2385,840.6558
1374.0958,430.544
1375.9531,-1554.9618
1377.8104,430.7975
1379.6676,812.1558
1381.5249,-517.4171
1383.3822,-102.5139
1385.2395,1659.9008
1387.0968,914.8382
1388.9541,-1041.0875
1390.8113,792.0107
1392.6686,388.8047
1394.5259,132.84
1396.3832,181.8735
1398.2405,1266.9787
1400.0978,-1278.5537
1401.955,-247.6597
1403.8123,879.7382
1405.6696,-1343.4455
1407.5269,1121.1479
1409.3842,561.5854
1411.2414,271.3776
1413.0987,54.8867
1414.956,821.8635
1416.8133,181.4683
1418.6706,169.231
1420.5279,468.6538
1422.3851,1632.3749
1424.2424,740.6326
1426.0997,-440.0103
1427.957,1284.0823
1429.8143,-52.6565
1431.6716,1699.5302
1433.5288,174.4756
1435.3861,1185.1831
1437.2434,-470.0765
1439.1007,318.0355
1440.958,806.6445
1442.8152,1084.8685
1444.6725,502.8362
1446.5298,9.912
1448.3871,1135.5526
1450.2444,1845.3829
1452.1017,2451.3706
1453.9589,27.9245
1455.8162,915.5433
1457.6735,352.7763
1459.5308,-1038.6565
1461.3881,1049.6946
1463.2454,1341.3106
1465.1026,2053.7387
1466.9599,2110.3213
1468.8172,-394.942
1470.6745,1799.6678
1472.5318,1835.1143
1474.3891,1931.7685
1476.2463,169.6638
1478.1036,2989.7638
1479.9609,860.1856
1481.8182,4187.3975
1483.6755,4023.5843
1485.5327,3131.5147
1487.39,4693.182
1489.2473,5840.5295
1491.1046,9250.733
1492.9619,11965.8015
1494.8192,16124.9981
1496.6764,23507.2446
1498.5337,32055.6586
1500.391,34377.0756
1502.2483,27503.9892
1504.1056,22188.8704
1505.9629,15401.9389
1507.8201,9999.7154
1509.6774,6992.6771
1511.5347,5493.4265
1513.392,5213.2729
1515.2493,3363.924
1517.1065,3658.969
1518.9638,2643.3031
1520.8211,1907.7299
1522.6784,1896.1798
1524.5357,877.5191
1526.393,2797.9658
1528.2502,2573.5067
1530.1075,1128.3214
1531.9648,908.4641
1533.8221,1766.2768
1535.6794,1744.2035
1537.5367,529.8881
1539.3939,684.3554
1541.2512,1242.5953
1543.1085,1206.0208
1544.9658,-319.9466
1546.8231,-416.6064
1548.6804,-1078.4065
1550.5376,534.8822
1552.3949,363.625
1554.2522,1130.3255
1556.1095,-413.7384
1557.9668,-238.1969
1559.824,418.8322
1561.6813,148.655
1563.5386,194.1791
1565.3959,1895.0845
1567.2532,679.8277
1569.1105,1028.154
1570.9677,1464.7518
1572.825,598.4951
1574.6823,1887.4277
1576.5396,914.6671
1578.3969,-685.7996
1580.2542,-577.3067
1582.1114,99.2333
1583.9687,-325.0641
1585.826,939.7764
1587.6833,345.2805
1589.5406,-150.4906
1591.3978,1520.5725
1593.2551,-951.2881
1595.1124,-613.243
1596.9697,-1108.7925
1598.827,1693.4166
1600.6843,-1333.2754
1602.5415,1883.1592
1604.3988,610.8868
1606.2561,899.1053
1608.1134,-134.2965
1609.9707,542.2931
1611.828,236.2427
1613.6852,1307.837
1615.5425,49.8274
1617.3998,-957.605
1619.2571,629.5322
1621.1144,-41.2516
1622.9717,486.7733
1624.8289,-264.2454
1626.6862,281.673
1628.5435,789.7434
1630.4008,966.2255
1632.2581,678.5164
1634.1153,232.2852
1635.9726,1552.7315
1637.8299,795.4119
1639.6872,1625.9496
1641.5445,372.1359
1643.4018,459.5859
1645.259,793.098
1647.1163,1437.9489
1648.9736,1576.5719
1650.8309,-84.8322
1652.6882,316.6096
1654.5455,1277.5718
1656.4027,639.245
1658.26,425.8941
1660.1173,-35.0393
1661.9746,1497.2603
1663.8319,-12.3807
1665.6891,-47.5756
1667.5464,1625.1341
1669.4037,-695.2709
1671.261,-231.3222
1673.1183,-990.7137
1674.9756,146.0633
1676.8328,668.4865
1678.6901,-506.8505
1680.5474,1525.48
1682.4047,-596.8693
1684.262,1064.2431
1686.1193,-687.3653
1687.9765,535.2594
1689.8338,2819.5844
1691.6911,-227.5115
1693.5484,-941.3922
