raman_shift_cm-1,intensity
100.0,1396.7312
101.8573,1119.1545
103.7146,9.8527
105.5718,-506.9997
107.4291,-351.4195
109.2864,410.1755
111.1437,591.9282
113.001,648.3023
114.8583,-705.114
116.7155,44.2754
118.5728,978.2222
120.4301,791.6943
122.2874,1027.6964
124.1447,999.9813
126.002,-227.8505
127.8592,1744.595
129.7165,1238.5067
131.5738,2227.0661
133.4311,-467.18
135.2884,310.463
137.1457,-530.8378
139.0029,546.6542
140.8602,804.6337
142.7175,-64.8961
144.5748,22.7771
146.4321,564.029
148.2893,-395.5927
150.1466,-266.9698
152.0039,606.5757
153.8612,-853.9868
155.7185,833.7707
157.5758,1016.5657
159.433,1651.0193
161.2903,-948.6788
163.1476,-244.201
165.0049,1559.9978
166.8622,-120.9714
168.7195,108.7665
170.5767,2379.8282
172.434,397.6795
174.2913,154.5434
176.1486,-930.4857
178.0059,53.4608
179.8631,1028.8285
181.7204,630.518
183.5777,-571.6629
185.435,-32.086
187.2923,-215.3491
189.1496,717.7432
191.0068,104.5738
192.8641,-1245.5033
194.7214,181.5088
196.5787,720.2165
198.436,-294.9472
200.2933,1011.5024
202.1505,1036.2428
204.0078,697.2436
205.8651,1195.6445
207.7224,1572.83
209.5797,328.2631
211.437,1153.1396
213.2942,693.7838
215.1515,1164.6656
217.0088,976.4088
218.8661,1754.603
220.7234,72.7135
222.5806,-779.9803
224.4379,715.0269
226.2952,601.5207
228.1525,182.169
230.0098,2227.0571
231.8671,204.1043
233.7243,1251.6816
235.5816,-488.8318
237.4389,2346.1595
239.2962,424.9327
241.1535,917.2938
243.0108,1174.8775
244.868,565.7372
246.7253,-763.369
248.5826,117.7643
250.4399,-12.8531
252.2972,468.4311
254.1544,642.9167
256.0117,-166.7247
257.869,73.6503
259.7263,535.566
261.5836,-263.458
263.4409,1225.1026
265.2981,952.2479
267.1554,160.5339
269.0127,639.5849
270.87,534.731
272.7273,944.99
274.5846,598.4315
276.4418,771.9747
278.2991,435.8623
280.1564,729.6328
282.0137,447.3818
283.871,-64.0838
285.7283,1128.1793
287.5855,-410.7617
289.4428,349.0112
291.3001,-111.5808
293.1574,1002.2473
295.0147,56.9636
296.8719,435.8393
298.7292,507.0205
300.5865,333.1814
302.4438,-639.7156
304.3011,-362.7468
306.1584,377.0812
308.0156,4.2964
309.8729,1732.6211
311.7302,357.774
313.5875,357.6922
315.4448,1018.6009
317.3021,144.4489
319.1593,-56.8621
321.0166,-252.5459
322.8739,-169.3141
324.7312,-3.4586
326.5885,-97.0053
328.4457,933.349
330.303,452.9939
332.1603,163.3928
334.0176,907.2243
335.8749,-401.914
337.7322,-229.9372
339.5894,837.8384
341.4467,1673.314
343.304,-864.8151
345.1613,-355.3321
347.0186,194.5737
348.8759,534.7525
350.7331,-504.5331
352.5904,168.4846
354.4477,-985.9029
356.305,-612.9536
358.1623,628.2191
360.0196,854.9423
361.8768,1354.9555
363.7341,92.188
365.5914,848.2961
367.4487,-605.8413
369.306,-282.5339
371.1632,1797.3131
373.0205,-120.4596
374.8778,3260.8886
376.7351,-841.6259
378.5924,-94.096
380.4497,-242.2311
382.3069,-738.2881
384.1642,988.7025
386.0215,-2.4757
387.8788,886.7902
389.7361,724.6495
391.5934,139.1913
393.4506,1680.9174
395.3079,580.5393
397.1652,469.9035
399.0225,880.9691
400.8798,-303.9143
402.737,873.5399
404.5943,454.2381
406.4516,390.7048
408.3089,1280.7176
410.1662,1528.7355
412.0235,1241.5507
413.8807,-300.1293
415.738,-149.9291
417.5953,154.4724
419.4526,-766.6967
421.3099,821.8913
423.1672,-268.1527
425.0244,-594.1157
426.8817,60.9841
428.739,-1502.0726
430.5963,937.8097
432.4536,336.7172
434.3109,-46.4651
436.1681,79.789
438.0254,-573.7952
439.8827,-51.1036
441.74,1014.0422
443.5973,-49.7031
445.4545,-29.3042
447.3118,455.3104
449.1691,900.9184
451.0264,-989.6282
452.8837,477.2805
454.741,825.2503
456.5982,-1071.5576
458.4555,-555.1528
460.3128,-108.2701
462.1701,-470.0696
464.0274,37.4521
465.8847,-980.1362
467.7419,1167.9134
469.5992,-522.4971
471.4565,1171.5542
473.3138,-857.5186
475.1711,1078.051
477.0283,1121.8954
478.8856,103.8871
480.7429,1291.1992
482.6002,1098.7175
484.4575,-239.5748
486.3148,-1279.2724
488.172,1107.9413
490.0293,-354.6401
491.8866,1970.859
493.7439,876.1516
495.6012,729.1233
497.4585,-591.5355
499.3157,-343.5511
501.173,1236.0156
503.0303,1195.8237
504.8876,208.6819
506.7449,197.6406
508.6022,629.1196
510.4594,-1036.3959
512.3167,862.3307
514.174,442.4222
516.0313,-1133.5915
517.8886,1247.2607
519.7458,419.0352
521.6031,101.2356
523.4604,1042.7928
525.3177,-47.587
527.175,1075.1749
529.0323,423.3461
530.8895,958.1713
532.7468,741.0455
534.6041,247.8091
536.4614,1295.7435
538.3187,1509.6605
540.176,1687.8864
542.0332,-849.5564
543.8905,616.225
545.7478,640.2229
547.6051,2153.178
549.4624,226.6324
551.3196,299.9914
553.1769,608.5708
555.0342,176.2392
556.8915,-191.5141
558.7488,-357.7298
560.6061,125.6455
562.4633,2420.4869
564.3206,56.5695
566.1779,212.676
568.0352,23.7957
569.8925,1462.4475
571.7498,243.2768
573.607,-315.6413
575.4643,-186.2499
577.3216,-899.3584
579.1789,-45.7508
581.0362,-783.9119
582.8935,1074.1562
584.7507,240.7863
586.608,663.5589
588.4653,328.2069
590.3226,-451.1458
592.1799,2350.7681
594.0371,1626.8538
595.8944,-630.2368
597.7517,1077.4517
599.609,-1224.0952
601.4663,1518.2364
603.3236,271.4156
605.1808,291.702
607.0381,-347.6299
608.8954,1637.5711
610.7527,488.461
612.61,1123.2655
614.4673,393.853
616.3245,-263.3904
618.1818,670.355
620.0391,826.5657
621.8964,871.3773
623.7537,2495.9058
625.6109,3660.2715
627.4682,3768.2327
629.3255,6091.1246
631.1828,9031.3871
633.0401,8415.0078
634.8974,5592.4485
636.7546,3867.9839
638.6119,2908.4488
640.4692,2425.752
642.3265,2478.9012
644.1838,2825.8674
646.0411,905.415
647.8983,1100.6206
649.7556,1019.9818
651.6129,969.1136
653.4702,1166.5741
655.3275,903.2422
657.1848,128.4077
659.042,262.9074
660.8993,-837.2674
662.7566,-393.5724
664.6139,966.2174
666.4712,1480.7014
668.3284,-848.0765
670.1857,1280.3387
672.043,-582.052
673.9003,962.9296
675.7576,369.3039
677.6149,1729.0861
679.4721,1523.8191
681.3294,-1152.9304
683.1867,-248.9474
685.044,1135.3781
686.9013,1123.6703
688.7586,1276.96
690.6158,32.3117
692.4731,599.0948
694.3304,-955.0535
696.1877,1829.03
698.045,581.3707
699.9022,-107.0141
701.7595,624.683
703.6168,-461.1605
705.4741,129.129
707.3314,-253.7966
709.1887,-428.5409
711.0459,1725.2516
712.9032,981.708
714.7605,46.0443
716.6178,-1355.343
718.4751,1570.439
720.3324,564.0566
722.1896,518.2087
724.0469,487.648
725.9042,739.7505
727.7615,-843.4852
729.6188,1176.3937
731.4761,417.4654
733.3333,523.153
735.1906,695.2329
737.0479,163.299
738.9052,248.868
740.7625,344.159
742.6197,819.123
744.477,278.1486
746.3343,-949.2051
748.1916,1205.2447
750.0489,723.368
751.9062,786.3835
753.7634,-68.9209
755.6207,744.8364
757.478,577.7473
759.3353,173.6298
761.1926,86.9082
763.0499,-15.5598
764.9071,1112.9627
766.7644,-14.5643
768.6217,416.6605
770.479,-512.278
772.3363,1382.1254
774.1935,-375.4995
776.0508,186.2221
777.9081,31.0107
779.7654,-312.8928
781.6227,-252.2541
783.48,1333.7459
785.3372,673.6336
787.1945,1052.4844
789.0518,1568.9265
790.9091,767.7366
792.7664,-414.8482
794.6237,1711.9321
796.4809,478.592
798.3382,-911.0272
800.1955,1361.113
802.0528,263.916
803.9101,1203.1334
805.7674,627.1052
807.6246,-357.1475
809.4819,65.0981
811.3392,878.2991
813.1965,-779.1155
815.0538,139.7747
816.911,-1657.6615
818.7683,486.0846
820.6256,1276.3813
822.4829,730.3289
824.3402,-84.2596
826.1975,1661.478
828.0547,1240.3096
829.912,-537.4808
831.7693,222.7704
833.6266,713.8511
835.4839,631.8708
837.3412,965.8246
839.1984,1035.0366
841.0557,799.4777
842.913,1280.9552
844.7703,605.9831
846.6276,2247.647
848.4848,1144.4546
850.3421,3071.0313
852.1994,4062.0251
854.0567,5563.8598
855.914,9935.782
857.7713,11113.9262
859.6285,9408.9319
861.4858,7363.6688
863.3431,4076.3923
865.2004,4190.4128
867.0577,2330.421
868.915,2123.7959
870.7722,1873.8332
872.6295,1582.2181
874.4868,1062.909
876.3441,1276.0657
878.2014,728.8303
880.0587,1643.5441
881.9159,995.5025
883.7732,-88.7568
885.6305,649.2952
887.4878,-387.5376
889.3451,833.9384
891.2023,734.2822
893.0596,-918.2951
894.9169,60.6671
896.7742,-37.1945
898.6315,380.3025
900.4888,1407.4197
902.346,1823.5142
904.2033,226.0372
906.0606,-152.9939
907.9179,1500.936
909.7752,-415.7179
911.6325,-131.7008
913.4897,370.0098
915.347,849.1118
917.2043,770.2806
919.0616,-546.57
920.9189,526.7152
922.7761,186.4061
924.6334,858.5851
926.4907,884.4911
928.348,1869.9223
930.2053,1472.4869
932.0626,644.6596
933.9198,443.48
935.7771,-412.96
937.6344,1281.2714
939.4917,874.9117
941.349,281.4563
943.2063,-315.4858
945.0635,16.3266
946.9208,-764.8623
948.7781,-124.4644
950.6354,-110.2335
952.4927,-322.5426
954.35,-1247.9012
956.2072,210.6136
958.0645,-1212.5932
959.9218,961.7099
961.7791,64.1319
963.6364,-102.2246
965.4936,-249.5268
967.3509,-58.3507
969.2082,1179.481
971.0655,1815.1713
972.9228,-45.7969
974.7801,394.1623
976.6373,278.6924
978.4946,-267.1877
980.3519,1753.9637
982.2092,-264.9423
984.0665,928.1129
985.9238,534.6965
987.781,364.8881
989.6383,275.2418
991.4956,-237.0629
993.3529,668.2631
995.2102,892.8094
997.0674,617.748
998.9247,279.3297
1000.782,79.3449
1002.6393,1085.4772
1004.4966,83.7138
1006.3539,745.7679
1008.2111,39.2662
1010.0684,102.6746
1011.9257,1563.1258
1013.783,979.7222
1015.6403,-125.3596
1017.4976,421.9817
1019.3548,407.4773
1021.2121,-612.9365
1023.0694,550.5433
1024.9267,498.3959
1026.784,1214.847
1028.6413,728.3936
1030.4985,80.7572
1032.3558,1612.1463
1034.2131,718.865
1036.0704,-796.6267
1037.9277,-538.1374
1039.7849,2004.8499
1041.6422,-707.648
1043.4995,537.6879
1045.3568,-268.0067
1047.2141,670.191
1049.0714,-78.4204
1050.9286,340.4505
1052.7859,-446.5083
1054.6432,468.952
1056.5005,782.0538
1058.3578,409.2501
1060.2151,723.4371
1062.0723,1644.6735
1063.9296,501.3314
1065.7869,1818.5635
1067.6442,1478.9523
1069.5015,586.7353
1071.3587,1448.3309
1073.216,1687.1441
1075.0733,1341.0575
1076.9306,637.9015
1078.7879,230.0738
1080.6452,2407.5702
1082.5024,530.0727
1084.3597,2055.8903
1086.217,3101.7951
1088.0743,3702.3954
1089.9316,5304.029
1091.7889,8110.8995
1093.6461,14239.3657
1095.5034,17755.6452
1097.3607,15915.6874
1099.218,8528.9714
1101.0753,6795.6
1102.9326,5309.9565
1104.7898,5234.4214
1106.6471,5486.6217
1108.5044,5679.9879
1110.3617,5136.7375
1112.219,7240.72
1114.0762,11819.6885
1115.9335,13648.3222
1117.7908,14270.9121
1119.6481,11321.7486
1121.5054,7724.2245
1123.3627,4614.9786
1125.2199,4792.2279
1127.0772,1513.4278
1128.9345,2098.7507
1130.7918,2640.3578
1132.6491,867.4619
1134.5064,2206.035
1136.3636,1510.7229
1138.2209,234.8251
1140.0782,1977.5432
1141.9355,2440.8543
1143.7928,1191.2657
1145.65,6.8276
1147.5073,1639.1242
1149.3646,1020.2621
1151.2219,1029.4665
1153.0792,969.8521
1154.9365,501.174
1156.7937,990.6891
1158.651,1079.5809
1160.5083,-144.5454
1162.3656,1490.9003
1164.2229,-843.9976
1166.0802,99.6656
1167.9374,872.761
1169.7947,2097.3879
1171.652,-592.2596
1173.5093,450.0599
1175.3666,1378.5816
1177.2239,-559.8963
1179.0811,-578.9739
1180.9384,1084.2833
1182.7957,351.585
1184.653,1437.599
1186.5103,168.7681
1188.3675,-209.0571
1190.2248,508.8483
1192.0821,912.4332
1193.9394,1522.9826
1195.7967,-30.7094
1197.654,155.3013
1199.5112,794.9342
1201.3685,-9.9402
1203.2258,921.652
1205.0831,-340.2705
1206.9404,-134.068
1208.7977,202.2525
1210.6549,1160.2961
1212.5122,376.3689
1214.3695,844.9769
1216.2268,1586.4326
1218.0841,248.2693
1219.9413,553.3545
1221.7986,895.5674
1223.6559,1298.1866
1225.5132,1266.8078
1227.3705,234.8329
1229.2278,-825.9052
1231.085,431.3754
1232.9423,1660.1914
1234.7996,-581.8709
1236.6569,837.7323
1238.5142,726.8108
1240.3715,875.3385
1242.2287,432.7865
1244.086,455.7708
1245.9433,258.1759
1247.8006,1069.1372
1249.6579,1163.3457
1251.5152,525.1854
1253.3724,1093.4387
1255.2297,-593.2862
1257.087,1324.9852
1258.9443,1821.1218
1260.8016,759.2333
1262.6588,756.3456
1264.5161,713.7319
1266.3734,704.148
1268.2307,536.0831
1270.088,1169.3404
1271.9453,3422.6014
1273.8025,2974.5759
1275.6598,4392.542
1277.5171,1565.9249
1279.3744,5848.9058
1281.2317,7382.1471
1283.089,10784.8474
1284.9462,19057.0842
1286.8035,23741.0763
1288.6608,23919.04
1290.5181,19406.9038
1292.3754,12661.8962
1294.2326,8232.3725
1296.0899,8004.9358
1297.9472,4370.6526
1299.8045,2370.685
1301.6618,1073.4064
1303.5191,2491.0977
1305.3763,1239.1534
1307.2336,2797.9523
1309.0909,1718.6356
1310.9482,2845.9313
1312.8055,559.0764
1314.6628,317.52
1316.52,1630.7171
1318.3773,799.6897
1320.2346,766.5489
1322.0919,1853.0206
1323.9492,334.9528
1325.8065,1000.49
1327.6637,961.3491
1329.521,326.5001
1331.3783,1189.5294
1333.2356,628.1774
1335.0929,-398.0745
1336.9501,1079.2199
1338.8074,2102.6019
1340.6647,545.7315
1342.522,826.0732
1344.3793,-342.0148
1346.2366,265.3641
1348.0938,857.299
1349.9511,-1003.2605
1351.8084,93.8998
1353.6657,15.9527
1355.523,918.8734
1357.3803,-196.8566
1359.2375,443.6737
1361.0948,611.1658
1362.9521,1237.3678
1364.8094,972.6519
1366.6667,-439.8682
1368.5239,1637.137
1370.3812,677.3025
1372.2385,1574.544
1374.0958,835.9592
1375.9531,1577.1446
1377.8104,404.6714
1379.6676,-377.045
1381.5249,80.9697
1383.3822,1070.2011
1385.2395,-518.6782
1387.0968,-1189.7223
1388.9541,643.107
1390.8113,139.302
1392.6686,-490.3521
1394.5259,613.3455
1396.3832,-483.5132
1398.2405,-340.9029
1400.0978,-532.8156
1401.955,-1772.0137
1403.8123,-238.2745
1405.6696,-297.3729
1407.5269,-478.9676
1409.3842,975.3421
1411.2414,-94.8185
1413.0987,-1473.187
1414.956,-181.6975
1416.8133,564.0514
1418.6706,245.6397
1420.5279,-176.7133
1422.3851,-473.6952
1424.2424,19.1698
1426.0997,930.8549
1427.957,-175.5482
1429.8143,946.7237
1431.6716,383.4705
1433.5288,2162.4169
1435.3861,-540.8061
1437.2434,1611.0991
1439.1007,-230.8184
1440.958,1431.7842
1442.8152,-539.6186
1444.6725,933.6362
1446.5298,-177.2038
1448.3871,1480.3843
1450.2444,1716.3416
1452.1017,-616.6263
1453.9589,588.3075
1455.8162,-378.6892
1457.6735,1557.668
1459.5308,622.8637
1461.3881,270.7584
1463.2454,-525.8369
1465.1026,764.5185
1466.9599,1292.6737
1468.8172,858.8941
1470.6745,-1981.5641
1472.5318,461.1432
1474.3891,1214.6737
1476.2463,1088.5394
1478.1036,-422.6112
1479.9609,1425.5508
1481.8182,2042.0489
1483.6755,-323.3783
1485.5327,20.0601
1487.39,75.3446
1489.2473,1337.8008
1491.1046,-1443.3213
1492.9619,-1661.8697
1494.8192,1024.8446
1496.6764,194.427
1498.5337,499.1007
1500.391,212.3955
1502.2483,922.2977
1504.1056,548.8874
1505.9629,906.6634
1507.8201,2009.4884
1509.6774,1750.7324
1511.5347,195.3372
1513.392,1343.3538
1515.2493,195.4395
1517.1065,140.8336
1518.9638,318.1163
1520.8211,-402.4138
1522.6784,810.5367
1524.5357,623.9628
1526.393,391.6458
1528.2502,190.8354
1530.1075,1800.9857
1531.9648,693.965
1533.8221,322.3304
1535.6794,478.7847
1537.5367,1331.6667
1539.3939,-447.1143
1541.2512,-61.8885
1543.1085,-792.0921
1544.9658,-396.0382
1546.8231,-715.3472
1548.6804,323.841
1550.5376,204.1111
1552.3949,1425.4511
1554.2522,-950.4487
1556.1095,-971.1549
1557.9668,616.8391
1559.824,1454.4636
1561.6813,1751.9374
1563.5386,1851.2277
1565.3959,592.3392
1567.2532,1120.7796
1569.1105,1030.0788
1570.9677,1995.5464
1572.825,1613.6304
1574.6823,964.809
1576.5396,-304.5294
1578.3969,504.9546
1580.2542,-450.4744
1582.1114,-146.5057
1583.9687,256.1154
1585.826,990.6189
1587.6833,518.9946
1589.5406,459.8022
1591.3978,1354.8595
1593.2551,732.0631
1595.1124,2820.7741
1596.9697,2285.4255
1598.827,1712.6461
1600.6843,3381.2764
1602.5415,4615.0987
1604.3988,5166.6043
1606.2561,5718.6209
1608.1134,11153.9903
1609.9707,14582.7359
1611.828,22625.2991
1613.6852,28011.2995
1615.5425,24980.7466
1617.3998,17520.2932
1619.2571,10303.9176
1621.1144,7744.0496
1622.9717,5766.1718
1624.8289,5282.8074
1626.6862,2876.3151
1628.5435,2852.4594
1630.4008,1505.3026
1632.2581,1511.0297
1634.1153,1810.3954
1635.9726,1008.874
1637.8299,-864.9469
1639.6872,470.0546
1641.5445,1802.2989
1643.4018,-1170.0758
1645.259,55.4195
1647.1163,2116.0702
