raman_shift_cm-1,intensity
100.0,454.2661
101.8573,925.7059
103.7146,1514.5246
105.5718,1372.7912
107.4291,-982.5855
109.2864,-302.9376
111.1437,468.0138
113.001,-723.7428
114.8583,332.163
116.7155,-606.2798
118.5728,1428.3404
120.4301,544.7966
122.2874,-1026.6979
124.1447,-900.6731
126.002,247.2884
127.8592,1307.3757
129.7165,91.692
131.5738,1339.3858
133.4311,-144.8277
135.2884,-177.5762
137.1457,415.6084
139.0029,593.9609
140.8602,1299.301
142.7175,1031.9568
144.5748,-999.5539
146.4321,-1078.4905
148.2893,2434.7541
150.1466,-714.1136
152.0039,621.9953
153.8612,675.4126
155.7185,1429.6719
157.5758,826.8034
159.433,375.2797
161.2903,-851.1009
163.1476,460.2993
165.0049,41.9675
166.8622,232.0277
168.7195,-45.3658
170.5767,378.1555
172.434,-27.9122
174.2913,124.6105
176.1486,1477.7869
178.0059,3.2351
179.8631,-894.8242
181.7204,-372.2098
183.5777,-490.7908
185.435,-72.7045
187.2923,91.0208
189.1496,912.9965
191.0068,914.1066
192.8641,1015.8437
194.7214,-238.5564
196.5787,601.7648
198.436,76.5532
200.2933,235.1228
202.1505,3206.6221
204.0078,977.4201
205.8651,562.1792
207.7224,1548.5014
209.5797,988.4002
211.437,587.2904
213.2942,1088.9528
215.1515,-625.6976
217.0088,1265.8622
218.8661,532.1142
220.7234,942.1525
222.5806,1019.7878
224.4379,2481.5237
226.2952,1379.6344
228.1525,397.0171
230.0098,927.135
231.8671,34.6714
233.7243,766.3307
235.5816,802.4124
237.4389,270.6503
239.2962,-735.435
241.1535,560.0061
243.0108,547.1825
244.868,-472.071
246.7253,748.1794
248.5826,477.0599
250.4399,1830.9722
252.2972,469.184
254.1544,-287.8694
256.0117,559.0966
257.869,556.0033
259.7263,1474.9177
261.5836,74.3682
263.4409,508.4466
265.2981,541.8346
267.1554,881.2794
269.0127,290.9212
270.87,678.0924
272.7273,702.5766
274.5846,1210.3533
276.4418,1511.3917
278.2991,616.6855
280.1564,1044.3636
282.0137,946.1538
283.871,145.3439
285.7283,810.5746
287.5855,-169.2228
289.4428,-151.8828
291.3001,-450.3037
293.1574,1330.6579
295.0147,838.208
296.8719,211.6566
298.7292,379.3501
300.5865,887.6959
302.4438,364.0022
304.3011,605.1507
306.1584,192.2144
308.0156,-810.1523
309.8729,1463.9323
311.7302,279.5734
313.5875,530.2435
315.4448,-1369.7173
317.3021,282.9279
319.1593,-791.0605
321.0166,167.1901
322.8739,-443.0731
324.7312,542.551
326.5885,180.797
328.4457,903.6319
330.303,467.8036
332.1603,-1232.5642
334.0176,2037.2769
335.8749,1129.8871
337.7322,-256.6348
339.5894,1139.1782
341.4467,-672.9734
343.304,-558.816
345.1613,1287.1152
347.0186,461.2855
348.8759,2524.2613
350.7331,217.1022
352.5904,-607.7725
354.4477,449.5954
356.305,1851.5431
358.1623,2031.3941
360.0196,730.4267
361.8768,-39.4983
363.7341,717.1015
365.5914,469.9257
367.4487,-160.0932
369.306,-140.2732
371.1632,548.7007
373.0205,-228.1596
374.8778,2102.6276
376.7351,364.2686
378.5924,1585.323
380.4497,-965.7412
382.3069,-142.5797
384.1642,698.4455
386.0215,240.2584
387.8788,-168.2991
389.7361,1335.2904
391.5934,-312.1204
393.4506,-6.3455
395.3079,-244.7416
397.1652,392.2833
399.0225,191.4719
400.8798,1818.2065
402.737,790.3518
404.5943,-1040.5432
406.4516,-978.4571
408.3089,148.6584
410.1662,576.4958
412.0235,342.5194
413.8807,1300.9099
415.738,422.2472
417.5953,767.7081
419.4526,898.8082
421.3099,694.8401
423.1672,150.3951
425.0244,1162.6069
426.8817,1097.721
428.739,-315.1282
430.5963,1865.7512
432.4536,1365.7122
434.3109,-774.204
436.1681,1934.6473
438.0254,-620.7893
439.8827,768.1099
441.74,484.3345
443.5973,938.4357
445.4545,-581.5942
447.3118,-95.8737
449.1691,-28.9159
451.0264,890.7697
452.8837,92.7048
454.741,773.3068
456.5982,1226.2491
458.4555,-243.1672
460.3128,-542.673
462.1701,30.3602
464.0274,492.2484
465.8847,815.649
467.7419,765.1288
469.5992,5.129
471.4565,1354.6333
473.3138,-486.4732
475.1711,-541.8436
477.0283,1949.3188
478.8856,-287.5268
480.7429,-374.6043
482.6002,835.7151
484.4575,-396.1797
486.3148,-153.2827
488.172,504.7748
490.0293,-308.1144
491.8866,-621.9137
493.7439,1670.453
495.6012,792.8002
497.4585,578.1534
499.3157,427.1234
501.173,159.4184
503.0303,-13.8529
504.8876,28.6109
506.7449,5.5674
508.6022,1558.0237
510.4594,-1109.92
512.3167,-907.7506
514.174,73.269
516.0313,-1203.5589
517.8886,1309.2157
519.7458,1124.2393
521.6031,874.7781
523.4604,535.8973
525.3177,994.3476
527.175,-1519.8844
529.0323,524.0076
530.8895,-895.1635
532.7468,-30.4507
534.6041,400.427
536.4614,42.6285
538.3187,1835.8748
540.176,1239.5229
542.0332,499.7732
543.8905,1544.1137
545.7478,1527.1447
547.6051,753.3577
549.4624,-514.8736
551.3196,66.2192
553.1769,-738.2882
555.0342,120.545
556.8915,790.7037
558.7488,1286.1304
560.6061,719.1491
562.4633,541.9279
564.3206,725.8425
566.1779,995.6976
568.0352,-112.9647
569.8925,-413.6724
571.7498,1371.6931
573.607,1540.4753
575.4643,1341.2876
577.3216,874.4136
579.1789,391.3521
581.0362,-101.2018
582.8935,1612.389
584.7507,1292.6889
586.608,555.4354
588.4653,877.6867
590.3226,850.3849
592.1799,3389.2619
594.0371,2955.386
595.8944,4859.0666
597.7517,6100.8937
599.609,7796.3877
601.4663,10055.7489
603.3236,5348.3221
605.1808,3800.6853
607.0381,2878.9692
608.8954,2439.1386
610.7527,1565.2262
612.61,-244.0839
614.4673,737.7657
616.3245,-699.1515
618.1818,1311.8699
620.0391,961.4063
621.8964,50.0565
623.7537,-1720.619
625.6109,922.6767
627.4682,649.1119
629.3255,-27.9287
631.1828,602.1919
633.0401,-400.1017
634.8974,743.7077
636.7546,-447.8298
638.6119,2219.8527
640.4692,39.1239
642.3265,-320.8613
644.1838,1328.7687
646.0411,704.0277
647.8983,1225.2479
649.7556,-979.9406
651.6129,2643.1622
653.4702,1492.7113
655.3275,-200.7415
657.1848,1501.0485
659.042,71.0828
660.8993,662.1244
662.7566,282.5123
664.6139,1154.6666
666.4712,1048.0905
668.3284,-496.1199
670.1857,1211.3057
672.043,1173.8124
673.9003,-434.1196
675.7576,170.8978
677.6149,-385.5198
679.4721,141.4923
681.3294,-179.9566
683.1867,645.0225
685.044,340.8025
686.9013,-1149.4517
688.7586,471.4512
690.6158,-1552.8418
692.4731,1073.1222
694.3304,-464.2432
696.1877,372.4274
698.045,716.2721
699.9022,441.5052
701.7595,789.4731
703.6168,-426.1587
705.4741,1362.4592
707.3314,707.6169
709.1887,1019.4222
711.0459,1102.737
712.9032,489.9452
714.7605,609.1936
716.6178,-1256.9836
718.4751,-334.7795
720.3324,731.6744
722.1896,131.8255
724.0469,-23.2512
725.9042,2020.5489
727.7615,1174.9377
729.6188,-313.3825
731.4761,298.0478
733.3333,-313.5498
735.1906,-330.5752
737.0479,-14.8058
738.9052,812.4438
740.7625,-506.0632
742.6197,1705.2758
744.477,2486.5189
746.3343,-188.4351
748.1916,-278.1919
750.0489,460.7035
751.9062,100.6895
753.7634,614.8226
755.6207,-437.2119
757.478,-326.4324
759.3353,1498.797
761.1926,773.9032
763.0499,863.3046
764.9071,1933.1928
766.7644,924.1304
768.6217,943.4777
770.479,-524.0478
772.3363,945.6073
774.1935,589.1827
776.0508,289.2041
777.9081,1211.8231
779.7654,324.9015
781.6227,630.3075
783.48,1698.6555
785.3372,341.5355
787.1945,2123.4777
789.0518,-94.5204
790.9091,-18.5148
792.7664,2532.5939
794.6237,2172.6846
796.4809,657.0389
798.3382,2092.271
800.1955,1932.4428
802.0528,3764.4434
803.9101,5805.6527
805.7674,7709.2711
807.6246,11742.0408
809.4819,15961.7051
811.3392,24872.7258
813.1965,23078.7422
815.0538,15396.5325
816.911,10755.5555
818.7683,6779.85
820.6256,5351.8027
822.4829,4035.2894
824.3402,2321.8867
826.1975,1614.6573
828.0547,1587.0589
829.912,1879.8796
831.7693,2249.7412
833.6266,2313.214
835.4839,378.6245
837.3412,-32.7385
839.1984,528.074
841.0557,1792.225
842.913,919.7793
844.7703,165.2403
846.6276,599.4398
848.4848,-1196.4322
850.3421,498.0936
852.1994,1615.6678
854.0567,2170.8933
855.914,640.1088
857.7713,1628.6232
859.6285,2393.1345
861.4858,-503.3231
863.3431,2130.5439
865.2004,-285.0043
867.0577,-810.0573
868.915,709.705
870.7722,-584.8983
872.6295,316.7411
874.4868,-309.1531
876.3441,439.177
878.2014,1212.0766
880.0587,927.2857
881.9159,1713.9341
883.7732,-302.9165
885.6305,883.3948
887.4878,689.1221
889.3451,415.4634
891.2023,-875.7793
893.0596,-991.5632
894.9169,-1132.3564
896.7742,424.6254
898.6315,1486.2063
900.4888,-703.9642
902.346,1249.8096
904.2033,-334.2533
906.0606,519.4747
907.9179,869.1395
909.7752,404.0625
911.6325,318.5254
913.4897,167.5699
915.347,507.5433
917.2043,-671.408
919.0616,-224.5702
920.9189,746.4589
922.7761,195.2708
924.6334,1246.805
926.4907,-890.2134
928.348,1153.7048
930.2053,1835.9572
932.0626,-95.5564
933.9198,1894.9223
935.7771,464.6003
937.6344,975.4292
939.4917,595.5529
941.349,734.3293
943.2063,695.1566
945.0635,274.0465
946.9208,655.6705
948.7781,-116.7411
950.6354,1754.3968
952.4927,387.552
954.35,422.335
956.2072,637.1493
958.0645,764.8641
959.9218,700.5772
961.7791,3290.8548
963.6364,3714.1043
965.4936,5131.2795
967.3509,9853.2607
969.2082,11868.6396
971.0655,10904.8986
972.9228,9272.8078
974.7801,5393.426
976.6373,3491.4693
978.4946,2482.8551
980.3519,1155.0395
982.2092,1792.146
984.0665,2884.7842
985.9238,-375.533
987.781,-178.3574
989.6383,714.9148
991.4956,803.3052
993.3529,1036.2135
995.2102,1384.0505
997.0674,323.1064
998.9247,316.6273
1000.782,387.5631
1002.6393,-1061.5164
1004.4966,2036.7217
1006.3539,-1027.5341
1008.2111,-891.9493
1010.0684,1489.8952
1011.9257,1034.2983
1013.783,-1553.6174
1015.6403,761.9821
1017.4976,-111.0133
1019.3548,2960.984
1021.2121,261.1104
1023.0694,-774.3238
1024.9267,1001.595
1026.784,-282.6139
1028.6413,661.5304
1030.4985,1376.235
1032.3558,996.5077
1034.2131,-655.4081
1036.0704,86.3448
1037.9277,-693.0197
1039.7849,1146.9436
1041.6422,905.2169
1043.4995,-1012.6562
1045.3568,2171.2462
1047.2141,1229.4135
1049.0714,1598.9524
1050.9286,847.8238
1052.7859,207.1749
1054.6432,51.7634
1056.5005,171.0737
1058.3578,1301.5807
1060.2151,564.9259
1062.0723,966.7846
1063.9296,571.4283
1065.7869,1143.6233
1067.6442,713.9652
1069.5015,1043.6852
1071.3587,272.9318
1073.216,1539.1968
1075.0733,-72.2934
