raman_shift_cm-1,intensity
100.0,1204.9112
101.8573,421.599
103.7146,961.6876
105.5718,-545.8598
107.4291,-291.2698
109.2864,627.3971
111.1437,661.0672
113.001,-29.5175
114.8583,-461.6124
116.7155,564.8651
118.5728,1228.0034
120.4301,1589.5153
122.2874,-1223.3044
124.1447,1692.9813
126.002,1103.2284
127.8592,305.6381
129.7165,80.4804
131.5738,-309.7443
133.4311,-141.6266
135.2884,-434.3965
137.1457,801.0016
139.0029,-28.4001
140.8602,2513.3094
142.7175,875.0869
144.5748,1785.9869
146.4321,1422.6512
148.2893,222.6364
150.1466,3243.9311
152.0039,4546.1938
153.8612,7463.7657
155.7185,7761.0894
157.5758,4834.9291
159.433,2545.3101
161.2903,1335.0352
163.1476,1030.8747
165.0049,777.5965
166.8622,1038.7494
168.7195,-395.3554
170.5767,1511.6868
172.434,-4.7475
174.2913,-426.6258
176.1486,1006.0855
178.0059,-240.0648
179.8631,1856.233
181.7204,78.1098
183.5777,752.5694
185.435,1062.9221
187.2923,813.9663
189.1496,502.1583
191.0068,-915.4899
192.8641,1519.7203
194.7214,1217.5097
196.5787,877.696
198.436,2141.1485
200.2933,1064.9471
202.1505,981.2342
204.0078,-7.5839
205.8651,1037.551
207.7224,-432.6611
209.5797,270.2887
211.437,-505.1238
213.2942,575.0505
215.1515,-704.2233
217.0088,1249.8563
218.8661,855.4136
220.7234,-741.1292
222.5806,-985.0374
224.4379,-104.3266
226.2952,-69.8144
228.1525,456.6816
230.0098,-838.677
231.8671,1995.3732
233.7243,-534.4317
235.5816,685.906
237.4389,42.613
239.2962,35.0377
241.1535,135.1296
243.0108,-183.1637
244.868,1170.606
246.7253,882.3647
248.5826,602.2842
250.4399,875.4193
252.2972,900.8167
254.1544,720.273
256.0117,1510.1401
257.869,1968.7474
259.7263,1342.6006
261.5836,1612.4637
263.4409,1054.2352
265.2981,197.755
267.1554,569.3255
269.0127,-844.4815
270.87,752.2413
272.7273,3757.4425
274.5846,1559.1331
276.4418,5506.6348
278.2991,7664.2646
280.1564,12732.0195
282.0137,16196.0238
283.871,13202.543
285.7283,8548.6358
287.5855,4002.8211
289.4428,3954.6105
291.3001,3411.6
293.1574,1005.5047
295.0147,1116.5927
296.8719,740.0986
298.7292,1019.6667
300.5865,1357.7851
302.4438,183.8435
304.3011,1024.8113
306.1584,801.5529
308.0156,707.6243
309.8729,233.7934
311.7302,1017.3275
313.5875,282.0582
315.4448,1484.2948
317.3021,353.2949
319.1593,1553.8975
321.0166,86.7696
322.8739,460.071
324.7312,122.0383
326.5885,1203.1533
328.4457,848.2659
330.303,1582.3835
332.1603,391.9451
334.0176,13.1989
335.8749,221.5326
337.7322,-1263.5499
339.5894,345.0663
341.4467,219.3449
343.304,-215.9801
345.1613,615.0461
347.0186,-858.0345
348.8759,1680.423
350.7331,-797.6413
352.5904,1442.5266
354.4477,63.5572
356.305,-1040.1001
358.1623,-899.9799
360.0196,416.7834
361.8768,317.4999
363.7341,1036.4754
365.5914,868.3728
367.4487,1656.7429
369.306,1394.8246
371.1632,-423.5072
373.0205,786.7996
374.8778,-890.6958
376.7351,1354.4518
378.5924,384.2659
380.4497,245.5007
382.3069,-146.3525
384.1642,571.1472
386.0215,379.0779
387.8788,485.5714
389.7361,564.2269
391.5934,113.3956
393.4506,1093.4391
395.3079,2169.6263
397.1652,1158.3144
399.0225,-44.2515
400.8798,-162.8832
402.737,-64.1737
404.5943,826.5303
406.4516,-1619.7773
408.3089,-193.1421
410.1662,32.7112
412.0235,732.6322
413.8807,-356.029
415.738,68.8926
417.5953,257.4512
419.4526,834.0462
421.3099,81.7044
423.1672,-835.2757
425.0244,-372.2812
426.8817,6.5482
428.739,1246.6957
430.5963,727.1489
432.4536,-483.0104
434.3109,-29.1938
436.1681,1580.3738
438.0254,920.525
439.8827,14.1096
441.74,1080.6784
443.5973,866.5399
445.4545,-423.3018
447.3118,139.1453
449.1691,1111.1094
451.0264,88.6187
452.8837,475.5089
454.741,-138.1603
456.5982,301.2359
458.4555,-242.6024
460.3128,30.0795
462.1701,780.3018
464.0274,-656.44
465.8847,419.9062
467.7419,76.1456
469.5992,1593.5177
471.4565,-221.5064
473.3138,-1997.5111
475.1711,1693.7648
477.0283,1667.3959
478.8856,51.4502
480.7429,359.0107
482.6002,938.0049
484.4575,-70.6757
486.3148,593.2773
488.172,-596.6738
490.0293,-463.1217
491.8866,-187.8471
493.7439,571.5512
495.6012,1009.4827
497.4585,-1986.3836
499.3157,668.1549
501.173,-579.2199
503.0303,563.8314
504.8876,-175.0817
506.7449,958.825
508.6022,234.5656
510.4594,621.0498
512.3167,1749.2582
514.174,1349.1383
516.0313,-446.5055
517.8886,1217.4809
519.7458,1248.0222
521.6031,1655.3573
523.4604,955.9966
525.3177,610.555
