raman_shift_cm-1,intensity
100.0,-480.6124
101.8573,-232.1921
103.7146,696.9042
105.5718,454.9354
107.4291,-462.7448
109.2864,863.4636
111.1437,502.564
113.001,-100.0865
114.8583,-102.1669
116.7155,-25.7451
118.5728,134.4516
120.4301,212.5229
122.2874,60.4844
124.1447,16.0946
126.002,90.5128
127.8592,478.4435
129.7165,688.5475
131.5738,903.2799
133.4311,436.7153
135.2884,453.3804
137.1457,7.5563
139.0029,374.7654
140.8602,103.0862
142.7175,637.0387
144.5748,-20.2607
146.4321,1144.5406
148.2893,599.199
150.1466,660.4798
152.0039,961.531
153.8612,704.723
155.7185,694.7404
157.5758,310.4096
159.433,354.6892
161.2903,128.1935
163.1476,719.227
165.0049,343.2464
166.8622,-91.0635
168.7195,588.2607
170.5767,75.8655
172.434,890.0207
174.2913,869.823
176.1486,384.3693
178.0059,-335.741
179.8631,293.1382
181.7204,503.9185
183.5777,33.6689
185.435,1022.4801
187.2923,-195.5826
189.1496,893.4577
191.0068,379.5695
192.8641,1043.7734
194.7214,410.4773
196.5787,14.1052
198.436,376.8931
200.2933,516.2222
202.1505,724.4961
204.0078,396.5973
205.8651,696.2503
207.7224,432.5728
209.5797,20.1476
211.437,179.2834
213.2942,148.3747
215.1515,383.9378
217.0088,433.6374
218.8661,606.9127
220.7234,246.6445
222.5806,580.9419
224.4379,79.1636
226.2952,157.2677
228.1525,424.6239
230.0098,678.822
231.8671,1285.78
233.7243,444.4563
235.5816,-596.0774
237.4389,831.1462
239.2962,570.2088
241.1535,463.9692
243.0108,305.6029
244.868,241.8225
246.7253,992.8497
248.5826,49.3412
250.4399,582.2632
252.2972,569.2955
254.1544,183.4632
256.0117,574.5252
257.869,321.9435
259.7263,-81.2541
261.5836,789.3515
263.4409,1395.406
265.2981,790.9032
267.1554,-290.1806
269.0127,721.3446
270.87,154.5524
272.7273,-868.1865
274.5846,1082.2267
276.4418,145.1625
278.2991,410.5371
280.1564,-352.7178
282.0137,249.0236
283.871,1093.2788
285.7283,845.8969
287.5855,188.4837
289.4428,1000.0117
291.3001,-54.9469
293.1574,797.9048
295.0147,-390.367
296.8719,73.8588
298.7292,506.0532
300.5865,21.5233
302.4438,631.0646
304.3011,196.1749
306.1584,-204.6728
308.0156,1200.0673
309.8729,146.1245
311.7302,-218.9433
313.5875,183.577
315.4448,457.7465
317.3021,667.6734
319.1593,410.5824
321.0166,150.9286
322.8739,364.2921
324.7312,321.0172
326.5885,34.8723
328.4457,593.587
330.303,-48.5745
332.1603,395.4151
334.0176,360.7487
335.8749,165.4742
337.7322,-4.0521
339.5894,278.0031
341.4467,-58.8252
343.304,-457.7243
345.1613,-261.5511
347.0186,318.2933
348.8759,212.7115
350.7331,272.445
352.5904,47.2684
354.4477,-407.4137
356.305,643.9172
358.1623,2.7695
360.0196,2.9628
361.8768,-8.8515
363.7341,44.6966
365.5914,-84.9093
367.4487,737.513
369.306,-101.5468
371.1632,877.183
373.0205,377.7962
374.8778,148.1705
376.7351,700.8001
378.5924,122.5376
380.4497,1261.8698
382.3069,398.5597
384.1642,260.6303
386.0215,85.5775
387.8788,-181.0691
389.7361,113.0538
391.5934,15.1582
393.4506,-63.6909
395.3079,949.079
397.1652,418.7379
399.0225,222.2964
400.8798,348.0974
402.737,1201.8145
404.5943,-333.2585
406.4516,906.7505
408.3089,-233.472
410.1662,1143.0785
412.0235,984.5205
413.8807,-145.6173
415.738,272.5384
417.5953,484.0839
419.4526,8.2938
421.3099,888.3524
423.1672,542.0269
425.0244,-271.6556
426.8817,387.8342
428.739,531.8583
430.5963,147.4721
432.4536,374.5533
434.3109,859.7255
436.1681,-33.0249
438.0254,817.3313
439.8827,352.2908
441.74,671.5299
443.5973,-107.0467
445.4545,1128.1757
447.3118,-99.7261
449.1691,472.8934
451.0264,40.2327
452.8837,387.1995
454.741,158.485
456.5982,-594.63
458.4555,830.0336
460.3128,529.6301
462.1701,415.2192
464.0274,1004.2766
465.8847,-640.8042
467.7419,375.091
469.5992,704.7769
471.4565,686.7182
473.3138,256.1176
475.1711,540.237
477.0283,477.0158
478.8856,391.1225
480.7429,-63.2664
482.6002,1039.2228
484.4575,328.0848
486.3148,-129.0735
488.172,-83.0836
490.0293,-329.4521
491.8866,213.4365
493.7439,270.7794
495.6012,114.8371
497.4585,-795.101
499.3157,653.59
501.173,-584.9688
503.0303,106.6022
504.8876,647.6178
506.7449,530.1859
508.6022,424.8446
510.4594,-213.5588
512.3167,-646.5384
514.174,768.4778
516.0313,614.8825
517.8886,-349.4413
519.7458,-138.6166
521.6031,252.7022
523.4604,95.6772
525.3177,238.9127
527.175,243.2838
529.0323,214.3237
530.8895,-113.0979
532.7468,-30.9499
534.6041,74.924
536.4614,365.3846
538.3187,894.0854
540.176,-119.4794
542.0332,-69.4886
543.8905,-562.6174
545.7478,346.7817
547.6051,1152.2202
549.4624,283.6667
551.3196,424.576
553.1769,952.9957
555.0342,1476.5685
556.8915,599.3786
558.7488,558.6896
560.6061,283.5929
562.4633,282.6518
564.3206,358.6205
566.1779,136.8234
568.0352,325.2899
569.8925,221.3586
571.7498,386.3768
573.607,282.1937
575.4643,659.1983
577.3216,60.9188
579.1789,423.2801
581.0362,517.6945
582.8935,824.2896
584.7507,-106.3836
586.608,1012.2319
588.4653,1045.0515
590.3226,626.4801
592.1799,1174.7504
594.0371,934.4826
595.8944,1504.133
597.7517,2318.5784
599.609,2178.5764
601.4663,2375.597
603.3236,2351.1937
605.1808,2505.9399
607.0381,1726.3016
608.8954,1236.3906
610.7527,1022.8635
612.61,549.7612
614.4673,498.7972
616.3245,413.908
618.1818,784.1869
620.0391,692.7236
621.8964,1948.2191
623.7537,1741.5653
625.6109,2834.1444
627.4682,2801.3633
629.3255,4595.761
631.1828,5764.106
633.0401,5904.5549
634.8974,4701.8743
636.7546,3036.5823
638.6119,2957.9309
640.4692,1367.926
642.3265,1466.8739
644.1838,1115.1495
646.0411,1192.2943
647.8983,608.2997
649.7556,972.9534
651.6129,1050.636
653.4702,338.2483
655.3275,555.5493
657.1848,636.8006
659.042,563.1499
660.8993,155.8343
662.7566,270.9019
664.6139,248.1805
666.4712,899.666
668.3284,1051.2678
670.1857,442.4952
672.043,1300.4082
673.9003,179.0735
675.7576,648.2793
677.6149,809.9999
679.4721,472.5392
681.3294,770.2458
683.1867,366.3797
685.044,211.4062
686.9013,157.916
688.7586,449.6432
690.6158,564.4411
692.4731,742.7538
694.3304,532.5898
696.1877,919.2275
698.045,590.3707
699.9022,409.592
701.7595,-51.6697
703.6168,307.6574
705.4741,216.0916
707.3314,-119.635
709.1887,203.6326
711.0459,322.7385
712.9032,334.4515
714.7605,548.2614
716.6178,590.1561
718.4751,35.4763
720.3324,111.5524
722.1896,274.8785
724.0469,234.816
725.9042,345.3747
727.7615,986.7027
729.6188,-571.9422
731.4761,320.6861
733.3333,-571.1495
735.1906,71.0379
737.0479,515.2113
738.9052,908.2026
740.7625,229.0518
742.6197,286.629
744.477,415.5913
746.3343,586.4984
748.1916,429.0064
750.0489,531.1679
751.9062,119.9388
753.7634,538.1594
755.6207,266.8786
757.478,299.391
759.3353,-424.2781
761.1926,44.4243
763.0499,385.9952
764.9071,1198.746
766.7644,592.8418
768.6217,738.2388
770.479,944.5252
772.3363,40.2959
774.1935,-179.7718
776.0508,474.0354
777.9081,866.4803
779.7654,77.9144
781.6227,611.8212
783.48,429.2526
785.3372,-42.9117
787.1945,-6.4091
789.0518,591.5222
790.9091,-184.6022
792.7664,376.8509
794.6237,288.8642
796.4809,295.7091
798.3382,1106.2882
800.1955,1276.2556
802.0528,1388.4046
803.9101,1594.3408
805.7674,2270.6109
807.6246,4302.3335
809.4819,5816.1819
811.3392,7569.5407
813.1965,7128.8001
815.0538,4816.7669
816.911,3500.4944
