raman_shift_cm-1,intensity
100.0,-74.4818
101.8573,-479.8874
103.7146,322.1163
105.5718,144.3436
107.4291,-26.5359
109.2864,-1529.4871
111.1437,620.5337
113.001,950.0346
114.8583,1522.3874
116.7155,1700.5831
118.5728,1002.253
120.4301,46.0453
122.2874,1130.2125
124.1447,658.5116
126.002,-533.8404
127.8592,651.5542
129.7165,1760.2612
131.5738,46.7678
133.4311,-384.9865
135.2884,-293.1672
137.1457,-431.4163
139.0029,-142.9869
140.8602,-67.4576
142.7175,972.3189
144.5748,-11.04
146.4321,-304.7581
148.2893,1626.7996
150.1466,263.7696
152.0039,576.9792
153.8612,-303.0791
155.7185,725.2372
157.5758,1727.6826
159.433,726.7459
161.2903,206.2496
163.1476,910.5971
165.0049,719.6282
166.8622,91.6266
168.7195,-107.9298
170.5767,-171.5044
172.434,-30.6387
174.2913,1025.4068
176.1486,391.5547
178.0059,157.8833
179.8631,-383.1221
181.7204,1710.2522
183.5777,636.8303
185.435,-797.3852
187.2923,194.0612
189.1496,1269.6138
191.0068,725.3979
192.8641,-749.0101
194.7214,792.1324
196.5787,1007.2163
198.436,2823.4024
200.2933,-848.9555
202.1505,949.0013
204.0078,89.4354
205.8651,-326.7759
207.7224,-343.8229
209.5797,1012.2895
211.437,504.5406
213.2942,424.8987
215.1515,5.3455
217.0088,488.2343
218.8661,10.6717
220.7234,68.3474
222.5806,-247.3884
224.4379,495.1441
226.2952,-769.8504
228.1525,531.4276
230.0098,15.4443
231.8671,939.4407
233.7243,410.6341
235.5816,433.8507
237.4389,1507.9555
239.2962,636.6636
241.1535,-300.111
243.0108,9.7716
244.868,239.1317
246.7253,10.1356
248.5826,197.9763
250.4399,-419.2041
252.2972,-65.9499
254.1544,553.2926
256.0117,-94.4973
257.869,800.7456
259.7263,87.6079
261.5836,-16.0638
263.4409,335.1426
265.2981,79.4017
267.1554,572.4995
269.0127,1537.7702
270.87,-471.2567
272.7273,1551.3613
274.5846,612.318
276.4418,889.3304
278.2991,-620.4606
280.1564,79.3813
282.0137,709.9204
283.871,-310.165
285.7283,101.5356
287.5855,-91.3768
289.4428,531.9587
291.3001,2203.8027
293.1574,470.6425
295.0147,600.7705
296.8719,599.9734
298.7292,527.845
300.5865,423.08
302.4438,2010.769
304.3011,1122.5043
306.1584,1056.7225
308.0156,-649.8548
309.8729,3110.0975
311.7302,1066.547
313.5875,1051.168
315.4448,443.5733
317.3021,447.9903
319.1593,-517.5549
321.0166,1766.6652
322.8739,-395.8669
324.7312,589.7362
326.5885,441.9998
328.4457,622.4724
330.303,1004.1376
332.1603,780.1004
334.0176,1744.4952
335.8749,503.1567
337.7322,318.7119
339.5894,-41.915
341.4467,728.0875
343.304,-753.9257
345.1613,1006.0239
347.0186,-603.5515
348.8759,570.8115
350.7331,1732.1183
352.5904,-1104.1655
354.4477,-1491.1707
356.305,934.1881
358.1623,-1133.9211
360.0196,63.2906
361.8768,749.5375
363.7341,421.9913
365.5914,-146.1059
367.4487,-299.103
369.306,1425.0099
371.1632,1524.7695
373.0205,934.7398
374.8778,1306.6689
376.7351,1687.1217
378.5924,-620.9123
380.4497,390.8595
382.3069,-544.5324
384.1642,-151.7074
386.0215,1126.1246
387.8788,1476.4276
389.7361,-296.1143
391.5934,-245.2416
393.4506,-348.0664
395.3079,294.3715
397.1652,69.0862
399.0225,765.4408
400.8798,640.3988
402.737,-561.1203
404.5943,865.2216
406.4516,936.4118
408.3089,-615.3463
410.1662,329.0636
412.0235,484.1938
413.8807,259.3626
415.738,1343.4943
417.5953,1702.3682
419.4526,-5.3621
421.3099,1849.8778
423.1672,1220.3163
425.0244,876.2167
426.8817,1353.0217
428.739,-144.7685
430.5963,-109.9017
432.4536,855.3439
434.3109,1154.2964
436.1681,725.7416
438.0254,256.6379
439.8827,589.7945
441.74,409.204
443.5973,-599.1241
445.4545,23.2849
447.3118,713.2931
449.1691,187.8449
451.0264,-200.9977
452.8837,-77.9801
454.741,1390.9168
456.5982,285.9032
458.4555,100.3851
460.3128,1081.0606
462.1701,506.4934
464.0274,298.4146
465.8847,1007.8045
467.7419,345.4564
469.5992,436.007
471.4565,128.5684
473.3138,1520.3245
475.1711,150.6172
477.0283,461.2817
478.8856,540.1502
480.7429,68.1359
482.6002,910.1359
484.4575,355.5413
486.3148,636.8728
488.172,-472.6579
490.0293,-1086.2364
491.8866,221.8397
493.7439,162.1181
495.6012,872.8846
497.4585,-188.4479
499.3157,905.6818
501.173,1429.8352
503.0303,350.8491
504.8876,-1325.67
506.7449,575.0051
508.6022,1843.1328
510.4594,486.3704
512.3167,-661.112
514.174,483.1348
516.0313,758.327
517.8886,1387.0019
519.7458,397.1476
521.6031,772.3529
523.4604,-64.573
525.3177,-158.6681
527.175,446.3639
529.0323,631.6747
530.8895,345.4371
532.7468,-51.7038
534.6041,416.345
536.4614,-1025.5248
538.3187,-718.9893
540.176,584.097
542.0332,625.6763
543.8905,811.9879
545.7478,313.5115
547.6051,299.2825
549.4624,457.7673
551.3196,395.3015
553.1769,1706.792
555.0342,-561.5906
556.8915,1162.2806
558.7488,69.9083
560.6061,747.3436
562.4633,-601.31
564.3206,-639.6197
566.1779,651.1909
568.0352,2118.4331
569.8925,1145.1193
571.7498,-278.4668
573.607,961.0777
575.4643,824.61
577.3216,881.6859
579.1789,23.5629
581.0362,377.1451
582.8935,0.3388
584.7507,1520.6115
586.608,295.1771
588.4653,281.8578
590.3226,-515.9098
592.1799,613.8855
594.0371,1716.7841
595.8944,-732.8359
597.7517,-17.3091
599.609,280.8503
601.4663,673.5158
603.3236,1595.4572
605.1808,-2.066
607.0381,-473.5388
608.8954,2141.0611
610.7527,2565.9627
612.61,1564.085
614.4673,3721.9029
616.3245,5729.3438
618.1818,9836.4575
620.0391,11368.8622
621.8964,13168.3127
623.7537,8173.4876
625.6109,4849.2049
627.4682,3755.0738
629.3255,1518.7211
631.1828,2332.1882
633.0401,97.8683
634.8974,734.172
636.7546,1617.563
638.6119,634.2566
640.4692,-28.1663
642.3265,475.4084
644.1838,-513.0656
646.0411,1320.5528
647.8983,764.1627
649.7556,1138.4265
651.6129,352.6234
653.4702,1064.4407
655.3275,-142.179
657.1848,-28.6431
659.042,46.6979
660.8993,-51.3893
662.7566,1116.3254
664.6139,-631.7489
666.4712,791.2516
668.3284,339.5655
670.1857,72.771
672.043,599.0235
673.9003,557.1
675.7576,2120.4835
677.6149,-394.4058
679.4721,-107.5787
681.3294,791.4818
683.1867,1638.6854
685.044,14.7767
686.9013,-158.9987
688.7586,542.7882
690.6158,1081.8188
692.4731,429.7441
694.3304,820.6058
696.1877,-425.134
698.045,-369.3519
699.9022,-277.7096
701.7595,-401.3647
703.6168,-149.6108
705.4741,-835.4134
707.3314,1211.9788
709.1887,331.1718
711.0459,338.8207
712.9032,-414.3927
714.7605,905.0406
716.6178,676.3579
718.4751,-514.9875
720.3324,-1417.9434
722.1896,-395.894
724.0469,1092.5553
725.9042,99.405
727.7615,900.7601
729.6188,1394.7055
731.4761,-153.3301
733.3333,1156.5439
735.1906,51.2263
737.0479,837.346
738.9052,206.4094
740.7625,-225.2025
742.6197,1339.0086
744.477,-301.9215
746.3343,1187.5487
748.1916,567.1729
750.0489,-155.3361
751.9062,-4.2093
753.7634,1013.2499
755.6207,682.2188
757.478,881.1714
759.3353,534.5326
761.1926,153.1052
763.0499,763.082
764.9071,-337.4721
766.7644,650.8904
768.6217,231.8529
770.479,291.7957
772.3363,1036.2525
774.1935,1166.2051
776.0508,33.6737
777.9081,-381.3014
779.7654,1038.5875
781.6227,-885.1768
783.48,953.7125
785.3372,2478.4962
787.1945,2652.0737
789.0518,2247.1382
790.9091,3363.1088
792.7664,3736.9878
794.6237,5714.4532
796.4809,5139.6966
798.3382,6445.0595
800.1955,3305.6995
802.0528,2973.2026
803.9101,2135.0899
805.7674,797.3723
807.6246,1896.9106
809.4819,1341.5069
811.3392,1019.7972
813.1965,1202.2495
815.0538,945.0094
816.911,1531.4565
818.7683,600.8382
820.6256,-146.5856
822.4829,-317.9049
824.3402,13.1784
826.1975,980.9761
828.0547,1145.5825
829.912,1092.0642
831.7693,1383.1938
833.6266,628.5122
835.4839,-1050.8756
837.3412,-38.29
839.1984,10.293
841.0557,313.0865
842.913,-44.9745
844.7703,841.5824
846.6276,765.5611
848.4848,1308.7673
850.3421,1088.9702
852.1994,769.0702
854.0567,825.5979
855.914,541.6552
857.7713,968.6781
859.6285,855.6053
861.4858,305.7544
863.3431,1556.7056
865.2004,1126.3037
867.0577,108.6252
868.915,557.2912
870.7722,1321.3817
872.6295,1283.6366
874.4868,241.9872
876.3441,-136.2253
878.2014,1267.0633
880.0587,2216.9843
881.9159,1102.4181
883.7732,1192.4592
885.6305,-128.6226
887.4878,461.3494
889.3451,1379.2654
891.2023,-1.9323
893.0596,-842.4697
894.9169,579.1929
896.7742,878.6614
898.6315,48.7686
900.4888,1836.4486
902.346,510.5252
904.2033,1219.0578
906.0606,862.5369
907.9179,-406.1355
909.7752,929.2998
911.6325,-590.4706
913.4897,-235.1584
915.347,-216.8008
917.2043,1977.7598
919.0616,1431.572
920.9189,638.5897
922.7761,1540.0157
924.6334,561.0816
926.4907,-132.6145
928.348,-336.1593
930.2053,540.0746
932.0626,-81.9763
933.9198,165.5494
935.7771,925.2334
937.6344,-885.8799
939.4917,365.5666
941.349,585.8532
943.2063,-408.7321
945.0635,891.013
946.9208,1796.7359
948.7781,-28.0691
950.6354,1441.2512
952.4927,2270.9028
954.35,-121.9827
956.2072,1478.1699
958.0645,685.4318
959.9218,220.5784
961.7791,1718.9312
963.6364,-337.1439
965.4936,1531.8159
967.3509,-355.7355
969.2082,205.6092
971.0655,806.297
972.9228,2211.7855
974.7801,1158.8805
976.6373,2594.4024
978.4946,-70.9039
980.3519,1348.4556
982.2092,1502.4465
984.0665,996.6263
985.9238,1550.5661
987.781,2892.4939
989.6383,4390.7406
991.4956,4521.8192
993.3529,5883.2349
995.2102,9648.8424
997.0674,14084.0323
998.9247,25059.7396
1000.782,40256.3905
1002.6393,35973.4521
1004.4966,21663.5586
1006.3539,10893.4691
1008.2111,6439.4238
1010.0684,5766.0197
1011.9257,5411.4586
1013.783,2846.2182
1015.6403,3020.0436
1017.4976,3162.549
1019.3548,3134.1781
1021.2121,3778.0098
1023.0694,5145.0754
1024.9267,6959.0188
1026.784,7681.2605
1028.6413,15141.5878
1030.4985,23668.2504
1032.3558,25324.0492
1034.2131,17768.2845
1036.0704,11278.2518
1037.9277,6876.1658
1039.7849,4801.9608
1041.6422,4338.1289
1043.4995,1382.6964
1045.3568,833.4048
1047.2141,2767.2456
1049.0714,35.914
1050.9286,990.9053
1052.7859,479.6661
1054.6432,1357.4311
1056.5005,1376.9922
1058.3578,555.6307
1060.2151,225.3077
1062.0723,-506.4048
