x_mm,y_mm,raman_shift_cm-1,intensity
37.800,25.200,900.0000,41.793543
37.800,25.200,902.0000,41.867220
37.800,25.200,904.0000,41.945525
37.800,25.200,906.0000,42.028855
37.800,25.200,908.0000,42.117647
37.800,25.200,910.0000,42.212389
37.800,25.200,912.0000,42.313625
37.800,25.200,914.0000,42.421959
37.800,25.200,916.0000,42.538071
37.800,25.200,918.0000,42.662722
37.800,25.200,920.0000,42.796768
37.800,25.200,922.0000,42.941176
37.800,25.200,924.0000,43.097041
37.800,25.200,926.0000,43.265602
37.800,25.200,928.0000,43.448276
37.800,25.200,930.0000,43.646677
37.800,25.200,932.0000,43.862661
37.800,25.200,934.0000,44.098361
37.800,25.200,936.0000,44.356244
37.800,25.200,938.0000,44.639175
37.800,25.200,940.0000,44.950495
37.800,25.200,942.0000,45.294118
37.800,25.200,944.0000,45.674653
37.800,25.200,946.0000,46.097561
37.800,25.200,948.0000,46.569343
37.800,25.200,950.0000,47.097792
37.800,25.200,952.0000,47.692308
37.800,25.200,954.0000,48.364312
37.800,25.200,956.0000,49.127789
37.800,25.200,958.0000,50.000000
37.800,25.200,960.0000,51.002445
37.800,25.200,962.0000,52.162162
37.800,25.200,964.0000,53.513514
37.800,25.200,966.0000,55.100671
37.800,25.200,968.0000,56.981132
37.800,25.200,970.0000,59.230769
37.800,25.200,972.0000,61.951220
37.800,25.200,974.0000,65.280899
37.800,25.200,976.0000,69.411765
37.800,25.200,978.0000,74.615385
37.800,25.200,980.0000,81.284404
37.800,25.200,982.0000,90.000000
37.800,25.200,984.0000,101.643836
37.800,25.200,986.0000,117.586207
37.800,25.200,988.0000,140.000000
37.800,25.200,990.0000,172.352941
37.800,25.200,992.0000,220.000000
37.800,25.200,994.0000,290.000000
37.800,25.200,996.0000,386.153846
37.800,25.200,998.0000,490.000000
37.800,25.200,1000.0000,540.000000
37.800,25.200,1002.0000,490.000000
37.800,25.200,1004.0000,386.153846
37.800,25.200,1006.0000,290.000000
37.800,25.200,1008.0000,220.000000
37.800,25.200,1010.0000,172.352941
37.800,25.200,1012.0000,140.000000
37.800,25.200,1014.0000,117.586207
37.800,25.200,1016.0000,101.643836
37.800,25.200,1018.0000,90.000000
37.800,25.200,1020.0000,81.284404
37.800,25.200,1022.0000,74.615385
37.800,25.200,1024.0000,69.411765
37.800,25.200,1026.0000,65.280899
37.800,25.200,1028.0000,61.951220
37.800,25.200,1030.0000,59.230769
37.800,25.200,1032.0000,56.981132
37.800,25.200,1034.0000,55.100671
37.800,25.200,1036.0000,53.513514
37.800,25.200,1038.0000,52.162162
37.800,25.200,1040.0000,51.002445
37.800,25.200,1042.0000,50.000000
37.800,25.200,1044.0000,49.127789
37.800,25.200,1046.0000,48.364312
37.800,25.200,1048.0000,47.692308
37.800,25.200,1050.0000,47.097792
37.800,25.200,1052.0000,46.569343
37.800,25.200,1054.0000,46.097561
37.800,25.200,1056.0000,45.674653
37.800,25.200,1058.0000,45.294118
37.800,25.200,1060.0000,44.950495
37.800,25.200,1062.0000,44.639175
37.800,25.200,1064.0000,44.356244
37.800,25.200,1066.0000,44.098361
37.800,25.200,1068.0000,43.862661
37.800,25.200,1070.0000,43.646677
37.800,25.200,1072.0000,43.448276
37.800,25.200,1074.0000,43.265602
37.800,25.200,1076.0000,43.097041
37.800,25.200,1078.0000,42.941176
37.800,25.200,1080.0000,42.796768
37.800,25.200,1082.0000,42.662722
37.800,25.200,1084.0000,42.538071
37.800,25.200,1086.0000,42.421959
37.800,25.200,1088.0000,42.313625
37.800,25.200,1090.0000,42.212389
37.800,25.200,1092.0000,42.117647
37.800,25.200,1094.0000,42.028855
37.800,25.200,1096.0000,41.945525
37.800,25.200,1098.0000,41.867220
37.800,25.200,1100.0000,41.793543
37.900,25.200,900.0000,42.008768
37.900,25.200,902.0000,42.091286
37.900,25.200,904.0000,42.178988
37.900,25.200,906.0000,42.272317
37.900,25.200,908.0000,42.371765
37.900,25.200,910.0000,42.477876
37.900,25.200,912.0000,42.591260
37.900,25.200,914.0000,42.712594
37.900,25.200,916.0000,42.842640
37.900,25.200,918.0000,42.982249
37.900,25.200,920.0000,43.132380
37.900,25.200,922.0000,43.294118
37.900,25.200,924.0000,43.468685
37.900,25.200,926.0000,43.657475
37.900,25.200,928.0000,43.862069
37.900,25.200,930.0000,44.084279
37.900,25.200,932.0000,44.326180
37.900,25.200,934.0000,44.590164
37.900,25.200,936.0000,44.878993
37.900,25.200,938.0000,45.195876
37.900,25.200,940.0000,45.544554
37.900,25.200,942.0000,45.929412
37.900,25.200,944.0000,46.355612
37.900,25.200,946.0000,46.829268
37.900,25.200,948.0000,47.357664
37.900,25.200,950.0000,47.949527
37.900,25.200,952.0000,48.615385
37.900,25.200,954.0000,49.368030
37.900,25.200,956.0000,50.223124
37.900,25.200,958.0000,51.200000
37.900,25.200,960.0000,52.322738
37.900,25.200,962.0000,53.621622
37.900,25.200,964.0000,55.135135
37.900,25.200,966.0000,56.912752
37.900,25.200,968.0000,59.018868
37.900,25.200,970.0000,61.538462
37.900,25.200,972.0000,64.585366
37.900,25.200,974.0000,68.314607
37.900,25.200,976.0000,72.941176
37.900,25.200,978.0000,78.769231
37.900,25.200,980.0000,86.238532
37.900,25.200,982.0000,96.000000
37.900,25.200,984.0000,109.041096
37.900,25.200,986.0000,126.896552
37.900,25.200,988.0000,152.000000
37.900,25.200,990.0000,188.235294
37.900,25.200,992.0000,241.600000
37.900,25.200,994.0000,320.000000
37.900,25.200,996.0000,427.692308
37.900,25.200,998.0000,544.000000
37.900,25.200,1000.0000,600.000000
37.900,25.200,1002.0000,544.000000
37.900,25.200,1004.0000,427.692308
37.900,25.200,1006.0000,320.000000
37.900,25.200,1008.0000,241.600000
37.900,25.200,1010.0000,188.235294
37.900,25.200,1012.0000,152.000000
37.900,25.200,1014.0000,126.896552
