rep_id,raman_shift_cm-1,intensity
S01,200.0000,53.580376
S01,201.0000,41.486852
S01,202.0000,37.255287
S01,203.0000,32.863178
S01,204.0000,49.130349
S01,205.0000,33.431388
S01,206.0000,36.057563
S01,207.0000,42.463309
S01,208.0000,38.647795
S01,209.0000,54.908267
S01,210.0000,40.658040
S01,211.0000,32.024518
S01,212.0000,44.780538
S01,213.0000,39.785570
S01,214.0000,36.002483
S01,215.0000,32.550503
S01,216.0000,38.381925
S01,217.0000,41.706424
S01,218.0000,40.955836
S01,219.0000,40.171182
S01,220.0000,31.874035
S01,221.0000,45.461185
S01,222.0000,55.849320
S01,223.0000,25.156506
S01,224.0000,39.676005
S01,225.0000,39.553653
S01,226.0000,36.231623
S01,227.0000,38.923928
S01,228.0000,32.971243
S01,229.0000,33.566212
S01,230.0000,40.463587
S01,231.0000,35.407175
S01,232.0000,26.280089
S01,233.0000,54.314779
S01,234.0000,44.123189
S01,235.0000,50.630940
S01,236.0000,34.568817
S01,237.0000,38.926544
S01,238.0000,36.042779
S01,239.0000,57.273607
S01,240.0000,27.285294
S01,241.0000,53.282347
S01,242.0000,46.019923
S01,243.0000,36.704403
S01,244.0000,42.998355
S01,245.0000,20.947886
S01,246.0000,39.490838
S01,247.0000,46.864102
S01,248.0000,41.106388
S01,249.0000,45.443108
S01,250.0000,44.918929
S01,251.0000,46.765596
S01,252.0000,57.850856
S01,253.0000,48.204814
S01,254.0000,33.899979
S01,255.0000,30.052831
S01,256.0000,43.740230
S01,257.0000,39.919236
S01,258.0000,39.358421
S01,259.0000,21.577627
S01,260.0000,41.620261
S01,261.0000,38.493350
S01,262.0000,55.421521
S01,263.0000,30.457911
S01,264.0000,17.520022
S01,265.0000,31.932581
S01,266.0000,34.239774
S01,267.0000,26.617893
S01,268.0000,32.101372
S01,269.0000,43.709564
S01,270.0000,45.927719
S01,271.0000,35.021390
S01,272.0000,49.751209
S01,273.0000,36.618650
S01,274.0000,41.067359
S01,275.0000,52.724555
S01,276.0000,28.609899
S01,277.0000,50.209570
S01,278.0000,48.561066
S01,279.0000,50.795751
S01,280.0000,32.896163
S01,281.0000,40.861697
S01,282.0000,26.369692
S01,283.0000,51.061218
S01,284.0000,42.777966
S01,285.0000,43.517225
S01,286.0000,51.478172
S01,287.0000,27.035085
S01,288.0000,49.331214
S01,289.0000,26.298974
S01,290.0000,54.545744
S01,291.0000,52.584948
S01,292.0000,33.432507
S01,293.0000,38.527511
S01,294.0000,41.766236
S01,295.0000,31.614021
S01,296.0000,37.747875
S01,297.0000,51.903040
S01,298.0000,55.819010
S01,299.0000,21.234702
S01,300.0000,47.632497
S01,301.0000,41.464413
S01,302.0000,33.972146
S01,303.0000,45.551964
S01,304.0000,47.517787
S01,305.0000,46.759899
S01,306.0000,35.621956
S01,307.0000,34.163491
S01,308.0000,18.878325
S01,309.0000,45.503247
S01,310.0000,53.435343
S01,311.0000,44.842863
S01,312.0000,47.229893
S01,313.0000,50.604345
S01,314.0000,40.590171
S01,315.0000,32.991343
S01,316.0000,40.665552
S01,317.0000,25.430213
S01,318.0000,61.213045
S01,319.0000,50.680935
S01,320.0000,47.484718
S01,321.0000,42.202900
S01,322.0000,33.582016
S01,323.0000,36.482138
S01,324.0000,23.412135
S01,325.0000,50.063295
S01,326.0000,41.070281
S01,327.0000,50.734582
S01,328.0000,53.105201
S01,329.0000,37.381659
S01,330.0000,27.523468
S01,331.0000,30.405517
S01,332.0000,15.691486
S01,333.0000,41.071036
S01,334.0000,41.887760
S01,335.0000,34.024836
S01,336.0000,43.213408
S01,337.0000,49.878589
S01,338.0000,34.774204
S01,339.0000,39.754606
S01,340.0000,34.460341
S01,341.0000,41.178471
S01,342.0000,58.764059
S01,343.0000,41.708030
S01,344.0000,60.383634
S01,345.0000,35.268902
S01,346.0000,50.582955
S01,347.0000,32.974853
S01,348.0000,21.508448
S01,349.0000,23.338862
S01,350.0000,45.540386
S01,351.0000,40.164032
S01,352.0000,40.772234
S01,353.0000,33.509881
S01,354.0000,28.083037
S01,355.0000,59.181037
S01,356.0000,41.278522
S01,357.0000,35.988741
S01,358.0000,28.757237
S01,359.0000,41.983384
S01,360.0000,43.235206
S01,361.0000,49.592281
S01,362.0000,36.190775
S01,363.0000,36.643140
S01,364.0000,45.154979
S01,365.0000,25.819226
S01,366.0000,40.746956
S01,367.0000,47.445155
S01,368.0000,37.142415
S01,369.0000,37.379759
S01,370.0000,53.234467
S01,371.0000,41.026504
S01,372.0000,49.547971
S01,373.0000,45.501682
S01,374.0000,46.150227
S01,375.0000,33.952093
S01,376.0000,41.526963
S01,377.0000,30.942615
S01,378.0000,37.848036
S01,379.0000,27.484898
S01,380.0000,48.696686
S01,381.0000,51.175184
S01,382.0000,59.905184
S01,383.0000,39.216983
S01,384.0000,39.133949
S01,385.0000,22.496023
S01,386.0000,52.433534
S01,387.0000,37.633600
S01,388.0000,41.288265
S01,389.0000,38.365745
S01,390.0000,22.467912
S01,391.0000,40.791346
S01,392.0000,33.016123
S01,393.0000,49.390323
S01,394.0000,42.178537
S01,395.0000,41.433441
S01,396.0000,45.345457
S01,397.0000,41.575509
S01,398.0000,42.489929
