rep_id,raman_shift_cm-1,intensity
S01,200.0000,50.044842
S01,201.0000,35.859621
S01,202.0000,22.697830
S01,203.0000,39.578649
S01,204.0000,52.359994
S01,205.0000,44.623587
S01,206.0000,43.664920
S01,207.0000,27.651228
S01,208.0000,57.470129
S01,209.0000,36.352046
S01,210.0000,55.837460
S01,211.0000,28.235901
S01,212.0000,34.631754
S01,213.0000,40.947787
S01,214.0000,50.293929
S01,215.0000,54.726838
S01,216.0000,40.218614
S01,217.0000,37.045044
S01,218.0000,33.695636
S01,219.0000,50.052143
S01,220.0000,43.080762
S01,221.0000,24.571020
S01,222.0000,32.656877
S01,223.0000,38.965954
S01,224.0000,33.168998
S01,225.0000,41.806468
S01,226.0000,40.319964
S01,227.0000,52.457908
S01,228.0000,50.110467
S01,229.0000,46.665792
S01,230.0000,49.054568
S01,231.0000,42.618423
S01,232.0000,33.813418
S01,233.0000,45.057704
S01,234.0000,40.620364
S01,235.0000,52.383013
S01,236.0000,49.053633
S01,237.0000,47.558732
S01,238.0000,40.171080
S01,239.0000,37.067920
S01,240.0000,54.297698
S01,241.0000,36.796161
S01,242.0000,33.126070
S01,243.0000,30.972802
S01,244.0000,40.318033
S01,245.0000,50.877921
S01,246.0000,49.625277
S01,247.0000,51.845740
S01,248.0000,29.809947
S01,249.0000,50.865659
S01,250.0000,53.582154
S01,251.0000,36.396398
S01,252.0000,33.508644
S01,253.0000,34.270887
S01,254.0000,34.554699
S01,255.0000,17.261588
S01,256.0000,46.397137
S01,257.0000,43.075343
S01,258.0000,41.214290
S01,259.0000,46.368557
S01,260.0000,36.872454
S01,261.0000,23.792757
S01,262.0000,51.013706
S01,263.0000,43.885967
S01,264.0000,38.132465
S01,265.0000,37.719143
S01,266.0000,31.396425
S01,267.0000,45.852501
S01,268.0000,38.859517
S01,269.0000,58.333966
S01,270.0000,22.217003
S01,271.0000,52.919894
S01,272.0000,28.002975
S01,273.0000,49.271983
S01,274.0000,25.337807
S01,275.0000,45.599237
S01,276.0000,35.799898
S01,277.0000,46.525939
S01,278.0000,40.849464
S01,279.0000,46.795835
S01,280.0000,36.580150
S01,281.0000,37.571505
S01,282.0000,61.628582
S01,283.0000,35.802018
S01,284.0000,49.209507
S01,285.0000,31.990305
S01,286.0000,48.952809
S01,287.0000,45.502452
S01,288.0000,34.095739
S01,289.0000,53.793103
S01,290.0000,28.013636
S01,291.0000,38.121929
S01,292.0000,56.144157
S01,293.0000,54.256873
S01,294.0000,40.895602
S01,295.0000,35.168187
S01,296.0000,39.821224
S01,297.0000,40.664433
S01,298.0000,47.194383
S01,299.0000,53.857724
S01,300.0000,66.942901
S01,301.0000,48.058928
S01,302.0000,44.003634
S01,303.0000,45.515700
S01,304.0000,34.752949
S01,305.0000,32.403394
S01,306.0000,43.059797
S01,307.0000,32.767378
S01,308.0000,40.898945
S01,309.0000,28.176209
S01,310.0000,37.090760
S01,311.0000,49.859883
S01,312.0000,60.326926
S01,313.0000,26.317060
S01,314.0000,49.003597
S01,315.0000,38.693977
S01,316.0000,59.972181
S01,317.0000,48.001628
S01,318.0000,44.333727
S01,319.0000,30.504849
S01,320.0000,60.262124
S01,321.0000,44.684181
S01,322.0000,20.961494
S01,323.0000,45.551487
S01,324.0000,47.361778
S01,325.0000,26.886527
S01,326.0000,37.769961
S01,327.0000,38.148640
S01,328.0000,35.414909
S01,329.0000,44.456899
S01,330.0000,33.385625
S01,331.0000,20.151348
S01,332.0000,42.241497
S01,333.0000,43.541982
S01,334.0000,39.750428
S01,335.0000,29.719299
S01,336.0000,44.324426
S01,337.0000,34.109830
S01,338.0000,46.797953
S01,339.0000,43.288255
S01,340.0000,57.674221
S01,341.0000,27.501198
S01,342.0000,65.354774
S01,343.0000,43.572985
S01,344.0000,39.773719
S01,345.0000,51.420778
S01,346.0000,57.140725
S01,347.0000,48.471578
S01,348.0000,26.734309
S01,349.0000,36.328203
S01,350.0000,38.005745
S01,351.0000,39.876956
S01,352.0000,39.962825
S01,353.0000,30.483806
S01,354.0000,26.219804
S01,355.0000,39.858392
S01,356.0000,37.388217
