raman_shift_cm-1,intensity
200.0000,40.205668
201.0000,40.206344
202.0000,40.207024
203.0000,40.207708
204.0000,40.208396
205.0000,40.209088
206.0000,40.209784
207.0000,40.210485
208.0000,40.211189
209.0000,40.211897
210.0000,40.212609
211.0000,40.213326
212.0000,40.214046
213.0000,40.214771
214.0000,40.215501
215.0000,40.216234
216.0000,40.216972
217.0000,40.217715
218.0000,40.218461
219.0000,40.219213
220.0000,40.219968
221.0000,40.220729
222.0000,40.221493
223.0000,40.222263
224.0000,40.223037
225.0000,40.223816
226.0000,40.224600
227.0000,40.225388
228.0000,40.226182
229.0000,40.226980
230.0000,40.227783
231.0000,40.228591
232.0000,40.229404
233.0000,40.230222
234.0000,40.231046
235.0000,40.231874
236.0000,40.232708
237.0000,40.233547
238.0000,40.234391
239.0000,40.235241
240.0000,40.236096
241.0000,40.236956
242.0000,40.237822
243.0000,40.238694
244.0000,40.239571
245.0000,40.240454
246.0000,40.241342
247.0000,40.242237
248.0000,40.243137
249.0000,40.244043
250.0000,40.244955
251.0000,40.245873
252.0000,40.246797
253.0000,40.247727
254.0000,40.248664
255.0000,40.249606
256.0000,40.250555
257.0000,40.251511
258.0000,40.252472
259.0000,40.253441
260.0000,40.254415
261.0000,40.255397
262.0000,40.256385
263.0000,40.257380
264.0000,40.258382
265.0000,40.259390
266.0000,40.260406
267.0000,40.261429
268.0000,40.262458
269.0000,40.263495
270.0000,40.264539
271.0000,40.265591
272.0000,40.266650
273.0000,40.267716
274.0000,40.268790
275.0000,40.269872
276.0000,40.270961
277.0000,40.272059
278.0000,40.273164
279.0000,40.274277
280.0000,40.275398
281.0000,40.276527
282.0000,40.277664
283.0000,40.278810
284.0000,40.279965
285.0000,40.281127
286.0000,40.282299
287.0000,40.283479
288.0000,40.284667
289.0000,40.285865
290.0000,40.287072
291.0000,40.288287
292.0000,40.289512
293.0000,40.290747
294.0000,40.291990
295.0000,40.293243
296.0000,40.294506
297.0000,40.295778
298.0000,40.297060
299.0000,40.298353
300.0000,40.299655
301.0000,40.300967
302.0000,40.302290
303.0000,40.303623
304.0000,40.304966
305.0000,40.306320
306.0000,40.307685
307.0000,40.309061
308.0000,40.310448
309.0000,40.311846
310.0000,40.313255
311.0000,40.314676
312.0000,40.316108
313.0000,40.317552
314.0000,40.319008
315.0000,40.320475
316.0000,40.321955
317.0000,40.323447
318.0000,40.324952
319.0000,40.326469
320.0000,40.327999
321.0000,40.329541
322.0000,40.331097
323.0000,40.332666
324.0000,40.334248
325.0000,40.335844
326.0000,40.337453
327.0000,40.339077
328.0000,40.340714
329.0000,40.342366
330.0000,40.344032
331.0000,40.345713
332.0000,40.347408
333.0000,40.349118
334.0000,40.350844
335.0000,40.352585
336.0000,40.354341
337.0000,40.356114
338.0000,40.357902
339.0000,40.359707
340.0000,40.361527
341.0000,40.363365
342.0000,40.365219
343.0000,40.367091
344.0000,40.368980
345.0000,40.370886
346.0000,40.372810
347.0000,40.374752
348.0000,40.376713
349.0000,40.378692
350.0000,40.380689
351.0000,40.382706
352.0000,40.384742
353.0000,40.386798
354.0000,40.388874
355.0000,40.390969
356.0000,40.393085
357.0000,40.395222
358.0000,40.397380
359.0000,40.399559
360.0000,40.401760
361.0000,40.403983
362.0000,40.406228
363.0000,40.408496
364.0000,40.410786
365.0000,40.413100
366.0000,40.415437
367.0000,40.417799
368.0000,40.420185
369.0000,40.422595
370.0000,40.425030
371.0000,40.427491
372.0000,40.429978
373.0000,40.432491
374.0000,40.435030
375.0000,40.437597
376.0000,40.440191
377.0000,40.442813
378.0000,40.445463
379.0000,40.448142
380.0000,40.450850
381.0000,40.453588
382.0000,40.456357
383.0000,40.459155
384.0000,40.461985
385.0000,40.464847
386.0000,40.467740
387.0000,40.470667
388.0000,40.473626
