raman_shift_cm-1,intensity
200.0000,34.008702
201.0000,35.110990
202.0000,40.333034
203.0000,47.754677
204.0000,21.432214
205.0000,36.088475
206.0000,44.260967
207.0000,34.503833
208.0000,36.836082
209.0000,36.438840
210.0000,38.041382
211.0000,34.291178
212.0000,35.007628
213.0000,35.427715
214.0000,48.493699
215.0000,49.654952
216.0000,23.738063
217.0000,23.829343
218.0000,34.899462
219.0000,46.821384
220.0000,40.894456
221.0000,37.566816
222.0000,31.381045
223.0000,39.998401
224.0000,44.402532
225.0000,39.506197
226.0000,37.650629
227.0000,34.709831
228.0000,21.422944
229.0000,51.404744
230.0000,35.979276
231.0000,36.650065
232.0000,42.233029
233.0000,39.126301
234.0000,32.122409
235.0000,50.503091
236.0000,40.348487
237.0000,43.642508
238.0000,28.753772
239.0000,35.490811
240.0000,55.103211
241.0000,33.243891
242.0000,39.429639
243.0000,32.842622
244.0000,31.974985
245.0000,36.990569
246.0000,44.153054
247.0000,34.380745
248.0000,37.712824
249.0000,42.336118
250.0000,36.490131
251.0000,46.740953
252.0000,47.577823
253.0000,42.970842
254.0000,37.269748
255.0000,51.426746
256.0000,61.294862
257.0000,46.438441
258.0000,42.390553
259.0000,56.563886
260.0000,44.154830
261.0000,22.633146
262.0000,38.869715
263.0000,35.078138
264.0000,23.718397
265.0000,51.051699
266.0000,37.247748
267.0000,45.081548
268.0000,31.990730
269.0000,37.128564
270.0000,45.853191
271.0000,39.589662
272.0000,32.005328
273.0000,60.705730
274.0000,34.125256
275.0000,24.978515
276.0000,49.572937
277.0000,57.813735
278.0000,43.585249
279.0000,25.897634
280.0000,48.847282
281.0000,25.565449
282.0000,28.556353
283.0000,33.432557
284.0000,43.720872
285.0000,39.258210
286.0000,46.963633
287.0000,42.461221
288.0000,41.751099
289.0000,31.682078
290.0000,44.500814
291.0000,50.548869
292.0000,34.773041
293.0000,44.579123
294.0000,37.716429
295.0000,44.760629
296.0000,32.672653
297.0000,54.658406
298.0000,35.654889
299.0000,40.453831
300.0000,22.444027
301.0000,43.900807
302.0000,43.995217
303.0000,44.461044
304.0000,35.960503
305.0000,27.190877
306.0000,47.280178
307.0000,35.799009
308.0000,49.812756
309.0000,35.533650
310.0000,48.763456
311.0000,37.584980
312.0000,46.065713
313.0000,33.318142
314.0000,38.702935
315.0000,37.874972
316.0000,42.913758
317.0000,39.872750
318.0000,33.947989
319.0000,37.091641
320.0000,48.947005
321.0000,42.537452
322.0000,54.995438
323.0000,45.196755
324.0000,40.559971
325.0000,28.983082
326.0000,53.724693
327.0000,31.524088
328.0000,32.696380
329.0000,48.425015
330.0000,40.537792
