point_id,x_mm,y_mm,raman_shift_cm-1,intensity
P00,37.800,25.200,400.0000,35.928613
P00,37.800,25.200,404.0000,46.368407
P00,37.800,25.200,408.0000,43.032779
P00,37.800,25.200,412.0000,37.288875
P00,37.800,25.200,416.0000,36.216382
P00,37.800,25.200,420.0000,31.389181
P00,37.800,25.200,424.0000,40.152723
P00,37.800,25.200,428.0000,39.016731
P00,37.800,25.200,432.0000,39.504139
P00,37.800,25.200,436.0000,46.936209
P00,37.800,25.200,440.0000,35.528048
P00,37.800,25.200,444.0000,32.789588
P00,37.800,25.200,448.0000,51.623330
P00,37.800,25.200,452.0000,43.892152
P00,37.800,25.200,456.0000,30.712878
P00,37.800,25.200,460.0000,37.637131
P00,37.800,25.200,464.0000,39.507344
P00,37.800,25.200,468.0000,41.260173
P00,37.800,25.200,472.0000,44.079795
P00,37.800,25.200,476.0000,44.305121
P00,37.800,25.200,480.0000,32.944462
P00,37.800,25.200,484.0000,41.660108
P00,37.800,25.200,488.0000,33.618663
P00,37.800,25.200,492.0000,46.738424
P00,37.800,25.200,496.0000,39.415554
P00,37.800,25.200,500.0000,42.123575
P00,37.800,25.200,504.0000,35.050681
P00,37.800,25.200,508.0000,45.924370
P00,37.800,25.200,512.0000,25.835565
P00,37.800,25.200,516.0000,41.575532
P00,37.800,25.200,520.0000,37.726266
P00,37.800,25.200,524.0000,41.608945
P00,37.800,25.200,528.0000,43.813741
P00,37.800,25.200,532.0000,40.201986
P00,37.800,25.200,536.0000,38.397942
P00,37.800,25.200,540.0000,43.669214
P00,37.800,25.200,544.0000,50.757390
P00,37.800,25.200,548.0000,44.556060
P00,37.800,25.200,552.0000,36.146158
P00,37.800,25.200,556.0000,50.050572
P00,37.800,25.200,560.0000,38.988582
P00,37.800,25.200,564.0000,41.479734
P00,37.800,25.200,568.0000,53.106020
P00,37.800,25.200,572.0000,52.330232
P00,37.800,25.200,576.0000,51.799405
P00,37.800,25.200,580.0000,41.144090
P00,37.800,25.200,584.0000,54.652628
P00,37.800,25.200,588.0000,53.150821
P00,37.800,25.200,592.0000,54.275351
P00,37.800,25.200,596.0000,64.066168
P00,37.800,25.200,600.0000,78.379098
P00,37.800,25.200,604.0000,87.710725
P00,37.800,25.200,608.0000,124.759129
P00,37.800,25.200,612.0000,198.592752
P00,37.800,25.200,616.0000,325.258623
P00,37.800,25.200,620.0000,450.936731
P00,37.800,25.200,624.0000,339.533741
P00,37.800,25.200,628.0000,190.330533
P00,37.800,25.200,632.0000,121.683200
P00,37.800,25.200,636.0000,91.660835
P00,37.800,25.200,640.0000,73.589080
P00,37.800,25.200,644.0000,56.344282
P00,37.800,25.200,648.0000,58.759408
P00,37.800,25.200,652.0000,57.395146
P00,37.800,25.200,656.0000,51.383975
P00,37.800,25.200,660.0000,47.455268
P00,37.800,25.200,664.0000,37.876615
P00,37.800,25.200,668.0000,50.632565
P00,37.800,25.200,672.0000,35.881239
P00,37.800,25.200,676.0000,45.172367
P00,37.800,25.200,680.0000,39.432346
P00,37.800,25.200,684.0000,46.879959
P00,37.800,25.200,688.0000,43.991472
P00,37.800,25.200,692.0000,58.115862
P00,37.800,25.200,696.0000,43.638845
P00,37.800,25.200,700.0000,47.768032
P00,37.800,25.200,704.0000,48.417262
P00,37.800,25.200,708.0000,45.177679
P00,37.800,25.200,712.0000,42.199965
P00,37.800,25.200,716.0000,50.729321
P00,37.800,25.200,720.0000,40.431794
P00,37.800,25.200,724.0000,47.998751
P00,37.800,25.200,728.0000,47.116758
P00,37.800,25.200,732.0000,48.024654
P00,37.800,25.200,736.0000,35.148468
P00,37.800,25.200,740.0000,43.064717
P00,37.800,25.200,744.0000,42.646259
P00,37.800,25.200,748.0000,43.818276
P00,37.800,25.200,752.0000,43.886090
P00,37.800,25.200,756.0000,48.607488
P00,37.800,25.200,760.0000,37.408390
P00,37.800,25.200,764.0000,37.990794
P00,37.800,25.200,768.0000,35.856820
P00,37.800,25.200,772.0000,42.665697
P00,37.800,25.200,776.0000,45.841682
P00,37.800,25.200,780.0000,44.034254
P00,37.800,25.200,784.0000,42.426590
P00,37.800,25.200,788.0000,42.665230
P00,37.800,25.200,792.0000,40.215272
P00,37.800,25.200,796.0000,47.132384
P00,37.800,25.200,800.0000,33.708907
P00,37.800,25.200,804.0000,46.546781
P00,37.800,25.200,808.0000,39.816830
P00,37.800,25.200,812.0000,44.351050
P00,37.800,25.200,816.0000,40.690391
P00,37.800,25.200,820.0000,41.488340
P00,37.800,25.200,824.0000,36.115626
P00,37.800,25.200,828.0000,43.452243
P00,37.800,25.200,832.0000,47.139333
P00,37.800,25.200,836.0000,33.061362
P00,37.800,25.200,840.0000,43.752548
P00,37.800,25.200,844.0000,43.709005
P00,37.800,25.200,848.0000,32.460981
P00,37.800,25.200,852.0000,37.777056
P00,37.800,25.200,856.0000,45.940497
P00,37.800,25.200,860.0000,41.227572
P00,37.800,25.200,864.0000,35.265784
P00,37.800,25.200,868.0000,46.967399
P00,37.800,25.200,872.0000,41.475449
P00,37.800,25.200,876.0000,43.635518
P00,37.800,25.200,880.0000,37.732408
P00,37.800,25.200,884.0000,41.967265
P00,37.800,25.200,888.0000,42.721078
P00,37.800,25.200,892.0000,58.503356
P00,37.800,25.200,896.0000,41.084201
P00,37.800,25.200,900.0000,51.047169
P00,37.800,25.200,904.0000,51.761666
P00,37.800,25.200,908.0000,47.771312
P00,37.800,25.200,912.0000,43.485253
P00,37.800,25.200,916.0000,58.223056
P00,37.800,25.200,920.0000,45.555456
P00,37.800,25.200,924.0000,44.879848
P00,37.800,25.200,928.0000,50.063506
P00,37.800,25.200,932.0000,58.743161
P00,37.800,25.200,936.0000,49.552512
P00,37.800,25.200,940.0000,43.828597
P00,37.800,25.200,944.0000,54.329867
P00,37.800,25.200,948.0000,56.004939
P00,37.800,25.200,952.0000,48.464722
P00,37.800,25.200,956.0000,58.906197
P00,37.800,25.200,960.0000,71.705965
P00,37.800,25.200,964.0000,59.727194
P00,37.800,25.200,968.0000,77.329677
P00,37.800,25.200,972.0000,97.861789
P00,37.800,25.200,976.0000,105.588545
P00,37.800,25.200,980.0000,121.106423
P00,37.800,25.200,984.0000,159.730776
P00,37.800,25.200,988.0000,223.121918
P00,37.800,25.200,992.0000,368.247345
P00,37.800,25.200,996.0000,644.852736
P00,37.800,25.200,1000.0000,1024.529417
P00,37.800,25.200,1004.0000,865.560414
P00,37.800,25.200,1008.0000,495.981313
P00,37.800,25.200,1012.0000,320.142229
P00,37.800,25.200,1016.0000,267.758937
P00,37.800,25.200,1020.0000,265.670151
P00,37.800,25.200,1024.0000,330.528190
P00,37.800,25.200,1028.0000,532.048082
P00,37.800,25.200,1032.0000,614.637057
