raman_shift_cm-1,intensity
200.0000,45.782468
201.0000,40.838974
202.0000,39.544727
203.0000,51.273071
204.0000,36.880940
205.0000,43.406003
206.0000,49.028932
207.0000,33.897280
208.0000,45.911649
209.0000,38.113299
210.0000,38.924640
211.0000,44.420457
212.0000,27.377215
213.0000,46.005099
214.0000,46.013817
215.0000,37.369749
216.0000,50.194241
217.0000,57.103149
218.0000,51.961330
219.0000,42.079082
220.0000,42.851336
221.0000,24.241663
222.0000,40.039005
223.0000,35.399953
224.0000,47.543292
225.0000,38.864031
226.0000,38.340218
227.0000,32.538777
228.0000,39.949418
229.0000,46.077881
230.0000,48.055313
231.0000,23.008438
232.0000,29.454389
233.0000,41.979246
234.0000,37.217069
235.0000,28.298198
236.0000,30.098336
237.0000,40.014382
238.0000,34.845466
239.0000,36.898858
240.0000,49.273891
241.0000,51.044706
242.0000,32.837993
243.0000,20.149933
244.0000,36.740995
245.0000,33.297786
246.0000,33.358083
247.0000,31.258283
248.0000,52.881801
249.0000,39.717212
250.0000,43.378854
251.0000,42.442076
252.0000,43.496767
253.0000,51.928430
254.0000,54.252333
255.0000,60.127848
256.0000,40.092831
257.0000,36.103634
258.0000,29.828659
259.0000,44.024882
260.0000,45.896638
261.0000,37.203698
262.0000,24.281346
263.0000,34.877780
264.0000,41.010462
265.0000,27.191280
266.0000,40.959933
267.0000,47.899949
268.0000,53.330907
269.0000,24.944557
270.0000,40.777816
271.0000,35.112013
272.0000,27.600228
273.0000,22.798387
274.0000,34.094329
275.0000,33.365608
276.0000,40.342101
277.0000,49.085531
278.0000,52.241506
279.0000,39.387880
280.0000,36.730211
281.0000,53.044702
282.0000,44.872210
283.0000,41.046653
284.0000,58.035175
285.0000,51.861912
286.0000,27.369235
287.0000,43.316934
288.0000,47.579615
289.0000,35.108484
290.0000,36.097777
291.0000,51.635746
292.0000,27.259265
293.0000,29.098712
294.0000,31.056470
295.0000,46.648234
296.0000,40.606377
297.0000,42.041247
298.0000,39.623934
299.0000,35.258388
300.0000,34.941595
301.0000,40.606284
302.0000,36.995938
303.0000,35.575773
304.0000,52.550909
305.0000,52.083740
306.0000,23.688708
307.0000,48.702924
308.0000,48.527348
309.0000,42.501282
310.0000,47.625305
311.0000,31.137438
312.0000,41.726908
313.0000,33.624834
314.0000,38.959723
315.0000,49.462123
316.0000,31.603680
317.0000,33.517554
318.0000,43.255805
319.0000,38.546088
320.0000,31.093378
321.0000,50.716653
322.0000,36.648987
323.0000,42.522088
324.0000,45.477826
325.0000,56.723540
326.0000,47.431036
327.0000,32.225004
328.0000,39.568930
329.0000,44.422587
330.0000,37.284084
331.0000,36.643064
332.0000,37.193645
333.0000,42.096321
334.0000,52.037359
335.0000,45.100340
336.0000,29.093824
337.0000,48.633334
338.0000,43.602361
339.0000,50.770433
340.0000,46.723694
341.0000,28.194519
342.0000,44.053710
343.0000,32.825308
344.0000,49.110294
345.0000,46.056357
346.0000,37.980168
347.0000,21.553074
348.0000,36.684419
349.0000,31.970493
350.0000,35.028582
351.0000,35.319763
352.0000,33.080704
353.0000,40.780965
354.0000,38.666312
355.0000,35.685799
356.0000,38.618519
357.0000,31.414500
358.0000,38.460103
359.0000,43.788352
360.0000,35.295307
361.0000,43.489868
362.0000,49.770708
363.0000,30.441560
364.0000,44.225080
365.0000,39.642889
366.0000,37.235815
367.0000,29.496203
368.0000,37.655355
369.0000,30.932571
370.0000,27.855132
371.0000,43.048364
372.0000,32.648402
373.0000,55.359058
374.0000,44.604378
375.0000,24.715731
376.0000,43.657707
377.0000,40.467181
378.0000,46.790436
379.0000,49.266129
380.0000,27.455418
381.0000,47.745063
382.0000,32.305257
383.0000,55.237540
384.0000,33.649426
385.0000,47.955339
386.0000,46.632817
387.0000,33.608440
388.0000,30.084243
389.0000,30.203901
390.0000,45.541822
391.0000,31.943658
392.0000,37.986720
393.0000,44.359821
394.0000,39.779848
395.0000,39.985947
396.0000,41.601934
397.0000,37.174517
398.0000,34.521408
399.0000,33.876697
400.0000,40.005706
401.0000,40.207585
402.0000,37.954966
403.0000,45.558809
404.0000,33.965534
405.0000,45.006344
406.0000,39.801346
407.0000,41.749847
408.0000,45.746727
409.0000,45.328795
410.0000,45.090323
411.0000,53.020429
412.0000,36.771647
413.0000,24.018340
414.0000,40.211116
415.0000,39.541454
416.0000,34.905782
417.0000,40.593939
418.0000,36.382280
419.0000,46.190340
420.0000,27.165331
421.0000,28.576733
422.0000,34.969815
423.0000,40.254948
424.0000,35.520973
425.0000,32.516037
426.0000,43.792822
427.0000,35.586617
428.0000,32.644578
429.0000,46.215189
430.0000,39.742482
431.0000,37.095205
432.0000,46.990169
433.0000,48.010696
434.0000,33.720567
435.0000,43.709743
436.0000,61.957662
437.0000,45.366297
438.0000,26.809354
439.0000,44.871502
440.0000,44.186068
441.0000,42.811679
442.0000,37.415212
443.0000,32.659619
444.0000,26.895126
445.0000,47.275645
446.0000,37.477226
447.0000,56.717609
448.0000,35.682870
449.0000,35.355680
450.0000,40.897493
451.0000,52.790818
452.0000,32.333753
453.0000,40.053798
454.0000,29.783566
455.0000,40.920110
456.0000,54.809118
457.0000,31.875627
458.0000,50.974807
459.0000,28.415528
460.0000,43.966326
461.0000,38.394997
462.0000,26.798239
463.0000,30.580172
464.0000,44.448587
465.0000,39.340613
466.0000,34.599668
467.0000,26.818291
468.0000,48.376889
469.0000,40.882071
470.0000,35.315376
471.0000,53.833857
472.0000,45.314107
473.0000,28.051857
474.0000,38.130562
475.0000,51.651309
476.0000,36.794460
477.0000,58.194101
478.0000,34.167256
479.0000,28.173174
480.0000,37.497011
481.0000,49.277222
482.0000,44.697573
483.0000,42.963077
484.0000,40.525508
485.0000,36.284790
486.0000,44.786247
487.0000,40.026937
488.0000,48.770238
489.0000,33.189058
490.0000,30.974968
491.0000,44.972298
492.0000,33.417758
493.0000,34.821354
494.0000,52.365372
495.0000,47.519103
496.0000,37.179767
497.0000,46.165772
498.0000,51.689751
499.0000,45.981863
500.0000,37.150347
501.0000,39.638081
502.0000,34.146621
503.0000,42.997218
504.0000,29.802899
505.0000,29.234998
506.0000,37.034240
507.0000,34.583250
508.0000,32.246664
509.0000,52.836802
510.0000,31.238577
511.0000,22.424548
512.0000,38.776040
513.0000,45.537617
514.0000,36.950663
515.0000,47.438615
516.0000,41.779909
517.0000,38.310724
518.0000,45.922730
519.0000,42.137452
520.0000,42.000657
521.0000,45.539124
522.0000,55.911336
523.0000,39.217898
524.0000,35.213356
525.0000,36.150873
526.0000,36.473063
527.0000,45.294287
528.0000,34.338140
529.0000,33.654723
530.0000,29.106947
531.0000,25.392611
532.0000,41.787757
533.0000,35.360581
534.0000,33.075406
535.0000,34.558015
536.0000,40.655982
537.0000,49.947680
538.0000,43.003280
539.0000,38.266099
540.0000,33.440673
541.0000,39.100587
542.0000,39.999298
543.0000,34.194622
544.0000,32.607877
545.0000,33.581535
546.0000,37.585574
547.0000,41.474803
548.0000,28.004909
549.0000,40.676620
550.0000,36.058872
551.0000,45.023540
552.0000,39.540089
553.0000,32.323539
554.0000,63.694439
555.0000,56.304469
556.0000,47.957941
557.0000,40.410838
558.0000,39.628118
559.0000,39.928187
560.0000,53.077585
561.0000,42.834268
562.0000,36.857769
563.0000,29.021095
564.0000,37.369151
565.0000,40.924627
566.0000,44.753902
567.0000,45.339286
568.0000,48.795164
569.0000,38.188861
570.0000,39.065239
571.0000,42.221266
572.0000,44.850857
573.0000,39.648831
574.0000,27.881573
575.0000,38.189739
576.0000,42.851987
577.0000,49.325877
578.0000,35.580331
579.0000,49.864379
580.0000,48.103863
581.0000,43.726373
582.0000,39.015208
583.0000,40.433634
584.0000,23.765943
585.0000,38.476936
586.0000,50.179200
587.0000,44.277543
588.0000,41.180572
589.0000,39.768446
590.0000,47.050556
591.0000,37.392585
592.0000,41.997322
593.0000,36.258792
594.0000,39.838307
595.0000,32.444775
596.0000,53.800607
597.0000,59.091200
598.0000,34.083633
599.0000,36.247178
600.0000,48.056404
601.0000,39.246204
602.0000,46.700871
603.0000,47.406570
604.0000,33.534234
605.0000,47.034148
606.0000,47.691962
607.0000,39.474114
608.0000,40.144778
609.0000,45.312673
610.0000,37.110770
611.0000,38.653107
612.0000,53.408746
613.0000,47.078867
614.0000,50.813232
615.0000,53.099203
616.0000,32.190144
617.0000,25.884332
618.0000,37.528403
619.0000,34.418152
620.0000,38.524591
621.0000,47.680598
622.0000,32.801671
623.0000,44.054588
624.0000,40.774669
625.0000,38.966145
626.0000,58.090190
627.0000,46.564693
628.0000,37.564971
629.0000,34.174845
630.0000,43.552318
631.0000,31.181109
632.0000,32.734830
633.0000,53.869685
634.0000,48.756072
635.0000,43.612730
636.0000,54.690038
637.0000,36.642572
638.0000,48.979671
639.0000,36.386613
640.0000,49.671041
641.0000,39.338127
642.0000,28.306478
643.0000,25.685479
644.0000,53.806548
645.0000,37.457759
646.0000,30.545965
647.0000,57.029549
648.0000,54.412166
649.0000,48.286145
650.0000,39.189730
651.0000,35.743933
652.0000,38.444313
653.0000,43.322274
654.0000,39.962796
655.0000,48.892089
656.0000,35.556867
657.0000,45.786063
658.0000,46.739168
659.0000,38.744391
660.0000,48.013558
661.0000,45.828934
662.0000,33.399653
663.0000,40.546223
664.0000,54.250800
665.0000,50.025581
666.0000,53.523367
667.0000,46.466279
668.0000,48.369110
669.0000,43.342570
670.0000,33.090339
671.0000,62.469433
672.0000,45.144227
673.0000,56.315920
674.0000,49.853126
675.0000,52.043106
676.0000,58.649290
677.0000,50.407036
678.0000,48.669388
679.0000,57.747996
680.0000,48.981928
681.0000,56.124051
682.0000,57.032280
683.0000,59.330201
684.0000,50.905880
685.0000,56.912830
686.0000,50.750889
687.0000,71.665647
688.0000,60.500290
689.0000,63.686558
690.0000,77.918606
691.0000,63.657866
692.0000,59.354112
693.0000,71.962956
694.0000,76.492280
695.0000,83.290890
696.0000,73.894793
697.0000,76.544934
698.0000,76.652546
699.0000,92.728145
700.0000,101.833108
701.0000,120.100924
702.0000,122.152762
703.0000,123.361071
704.0000,145.126685
705.0000,150.034602
706.0000,188.681586
707.0000,218.496695
708.0000,258.501102
709.0000,261.379388
710.0000,313.432046
711.0000,350.767621
712.0000,345.291471
713.0000,344.165382
714.0000,303.753161
715.0000,266.410749
716.0000,235.368882
717.0000,199.358710
718.0000,189.555695
719.0000,173.155705
720.0000,145.115017
721.0000,136.578395
722.0000,120.351023
723.0000,100.730033
724.0000,96.601120
725.0000,89.183239
726.0000,78.941169
727.0000,88.618226
728.0000,71.346800
729.0000,86.195611
730.0000,64.508514
731.0000,84.684962
732.0000,67.574578
733.0000,63.610425
734.0000,49.906202
735.0000,68.152688
736.0000,64.264872
737.0000,62.726376
738.0000,57.406239
739.0000,55.248110
740.0000,38.982948
741.0000,61.003172
742.0000,54.230964
743.0000,47.578258
744.0000,52.849339
745.0000,59.210883
746.0000,60.083019
747.0000,40.742657
748.0000,49.618573
749.0000,42.751217
750.0000,56.148617
751.0000,49.808733
752.0000,40.130041
753.0000,48.638747
754.0000,52.788871
755.0000,42.303677
756.0000,39.929571
757.0000,35.736121
758.0000,48.114858
759.0000,51.130404
760.0000,49.544882
761.0000,44.732020
762.0000,59.388599
763.0000,48.751205
764.0000,48.294553
765.0000,47.525651
766.0000,44.602315
767.0000,52.323991
768.0000,44.900057
769.0000,35.621791
770.0000,43.743810
771.0000,33.841613
772.0000,48.495396
773.0000,51.625882
774.0000,34.177148
775.0000,43.999640
776.0000,40.902533
777.0000,27.871145
778.0000,41.013889
779.0000,33.398330
780.0000,42.671763
781.0000,52.384454
782.0000,46.784649
783.0000,39.675251
784.0000,34.094720
785.0000,29.562960
786.0000,29.134668
787.0000,32.686345
788.0000,37.809849
789.0000,40.766904
790.0000,38.026411
791.0000,46.725865
792.0000,38.897997
793.0000,46.304369
794.0000,42.515550
795.0000,33.504788
796.0000,51.384549
797.0000,46.827046
798.0000,28.280073
799.0000,38.785745
800.0000,45.747284
801.0000,30.251793
802.0000,58.692047
803.0000,53.586752
804.0000,41.907404
805.0000,54.855645
806.0000,30.429585
807.0000,33.689393
808.0000,37.075106
809.0000,50.171915
810.0000,22.868554
811.0000,38.624871
812.0000,48.325362
813.0000,51.556973
814.0000,48.639168
815.0000,30.495938
816.0000,39.591760
817.0000,47.034538
818.0000,32.876383
819.0000,28.365146
820.0000,41.793027
821.0000,50.885992
822.0000,35.840681
823.0000,37.347867
824.0000,53.285292
825.0000,49.368055
826.0000,38.892998
827.0000,42.099029
828.0000,34.094643
829.0000,39.079378
830.0000,41.839138
831.0000,49.945130
832.0000,31.023018
833.0000,20.436048
834.0000,35.324789
835.0000,43.670162
836.0000,51.631259
837.0000,51.077853
838.0000,43.619912
839.0000,26.233984
840.0000,49.447736
841.0000,55.045513
842.0000,43.188926
843.0000,29.595888
844.0000,43.421490
845.0000,54.111078
846.0000,42.108444
847.0000,42.688956
848.0000,33.652429
849.0000,42.494274
850.0000,44.612995
851.0000,40.460756
852.0000,31.334765
853.0000,39.639215
854.0000,52.907609
855.0000,47.858657
856.0000,33.308580
857.0000,38.075194
858.0000,36.790972
859.0000,45.255797
860.0000,35.721188
861.0000,23.146283
862.0000,44.371270
863.0000,28.815218
864.0000,49.019692
865.0000,32.648942
866.0000,34.049921
867.0000,33.777842
868.0000,39.243538
869.0000,25.846211
870.0000,40.456525
871.0000,57.709782
872.0000,30.684926
873.0000,44.717151
874.0000,33.412586
875.0000,50.394711
876.0000,41.470394
877.0000,29.969246
878.0000,26.012306
879.0000,50.086342
880.0000,37.391778
881.0000,47.941141
882.0000,32.054296
883.0000,33.709368
884.0000,40.563916
885.0000,40.939060
886.0000,37.303669
887.0000,54.348706
888.0000,28.202599
889.0000,39.597490
890.0000,30.671217
891.0000,41.177997
892.0000,45.451634
893.0000,40.747394
894.0000,44.510542
895.0000,52.667560
896.0000,59.610512
897.0000,45.165574
898.0000,44.617865
899.0000,43.292586
900.0000,53.445718
901.0000,41.682098
902.0000,35.483097
903.0000,45.804295
904.0000,55.051441
905.0000,49.321561
906.0000,34.662892
907.0000,34.434812
908.0000,54.158248
909.0000,42.173617
910.0000,54.612292
911.0000,31.134995
912.0000,31.268370
913.0000,46.201437
914.0000,32.660923
915.0000,37.109395
916.0000,57.568879
917.0000,38.849843
918.0000,37.383960
919.0000,42.763594
920.0000,39.428000
921.0000,27.909156
922.0000,42.708376
923.0000,45.716646
924.0000,40.790934
925.0000,43.344460
926.0000,35.953590
927.0000,52.005433
928.0000,39.356742
929.0000,36.719358
930.0000,40.189578
931.0000,48.321725
932.0000,46.147778
933.0000,39.122661
934.0000,44.770823
935.0000,43.850318
936.0000,47.018627
937.0000,28.198316
938.0000,33.695055
939.0000,59.258222
940.0000,33.048336
941.0000,34.061535
942.0000,47.179087
943.0000,43.740531
944.0000,57.830071
945.0000,45.334050
946.0000,39.431220
947.0000,38.402717
948.0000,50.015546
949.0000,46.776501
950.0000,51.801919
951.0000,29.711538
952.0000,50.485869
953.0000,35.357785
954.0000,31.933528
955.0000,43.620848
956.0000,48.055398
957.0000,34.425382
958.0000,38.734169
959.0000,51.783268
960.0000,43.767476
961.0000,54.005505
962.0000,38.177355
963.0000,37.353558
964.0000,52.054738
965.0000,39.166054
966.0000,47.573065
967.0000,38.459776
968.0000,46.977798
969.0000,51.235880
970.0000,48.898047
971.0000,43.960553
972.0000,51.981241
973.0000,33.069390
974.0000,29.244762
975.0000,31.947093
976.0000,34.729859
977.0000,48.927236
978.0000,54.265526
979.0000,25.066501
980.0000,38.223755
981.0000,53.533598
982.0000,26.559113
983.0000,24.403370
984.0000,31.742270
985.0000,42.328075
986.0000,48.598247
987.0000,42.091765
988.0000,50.559575
989.0000,37.755885
990.0000,48.544342
991.0000,54.582165
992.0000,50.951548
993.0000,57.833933
994.0000,37.621962
995.0000,43.105647
996.0000,59.263576
997.0000,54.546025
998.0000,31.044305
999.0000,41.089433
1000.0000,50.182811
1001.0000,49.625555
1002.0000,48.530976
1003.0000,54.241670
1004.0000,35.988507
1005.0000,41.211200
1006.0000,34.228404
1007.0000,35.522550
1008.0000,42.057320
1009.0000,54.394356
1010.0000,45.267421
1011.0000,50.425321
1012.0000,47.527363
1013.0000,40.122259
1014.0000,49.899227
1015.0000,53.425974
1016.0000,54.978075
1017.0000,55.801354
1018.0000,35.333580
1019.0000,31.872036
1020.0000,49.305773
1021.0000,58.407478
1022.0000,38.605571
1023.0000,60.547328
1024.0000,49.182135
1025.0000,57.737754
1026.0000,45.770448
1027.0000,50.583973
1028.0000,49.457410
1029.0000,50.365435
1030.0000,55.654143
1031.0000,58.071322
1032.0000,64.758859
1033.0000,52.982151
1034.0000,56.365566
1035.0000,60.867140
1036.0000,57.972470
1037.0000,51.447571
1038.0000,49.208507
1039.0000,55.374303
1040.0000,63.217133
1041.0000,56.325120
1042.0000,50.208611
1043.0000,49.301288
1044.0000,55.235168
1045.0000,78.415221
1046.0000,52.621812
1047.0000,70.343430
1048.0000,40.202750
1049.0000,56.489981
1050.0000,78.941175
1051.0000,66.542386
1052.0000,72.327165
1053.0000,78.030288
1054.0000,77.950452
1055.0000,81.652205
1056.0000,80.457671
1057.0000,90.605111
1058.0000,78.280525
1059.0000,81.335435
1060.0000,97.121794
1061.0000,97.955870
1062.0000,84.769608
1063.0000,107.188714
1064.0000,123.089539
1065.0000,106.069765
1066.0000,127.766465
1067.0000,132.072976
1068.0000,132.746008
1069.0000,141.050187
1070.0000,152.807007
1071.0000,172.781468
1072.0000,202.483778
1073.0000,217.982247
1074.0000,233.666859
1075.0000,268.900194
1076.0000,306.538070
1077.0000,342.245704
1078.0000,394.358658
1079.0000,470.138387
1080.0000,534.158677
1081.0000,620.686120
1082.0000,715.626554
1083.0000,843.487329
1084.0000,942.063455
1085.0000,1009.687630
1086.0000,1045.868625
1087.0000,1027.204915
1088.0000,941.255358
1089.0000,834.307885
1090.0000,734.746472
1091.0000,633.307936
1092.0000,532.334651
1093.0000,462.396704
1094.0000,408.641287
1095.0000,350.204115
1096.0000,314.424872
1097.0000,268.285410
1098.0000,241.249104
1099.0000,220.803971
1100.0000,184.320534
1101.0000,182.806871
1102.0000,158.123757
1103.0000,147.753879
1104.0000,133.872294
1105.0000,132.962642
1106.0000,135.347757
1107.0000,114.027757
1108.0000,104.326479
1109.0000,100.009655
1110.0000,88.682478
1111.0000,93.309521
1112.0000,88.628210
1113.0000,83.225445
1114.0000,76.478370
1115.0000,89.058493
1116.0000,76.377042
1117.0000,62.527737
1118.0000,61.089885
