raman_shift_cm-1,intensity
200.0000,1.849842
201.0000,4.967955
202.0000,-1.601685
203.0000,-0.151576
204.0000,-8.559367
205.0000,2.663433
206.0000,-0.111872
207.0000,-3.524130
208.0000,6.937871
209.0000,-9.751371
210.0000,-1.810780
211.0000,-8.152328
212.0000,-9.970391
213.0000,-9.729649
214.0000,16.619525
215.0000,-2.620305
216.0000,13.261387
217.0000,-11.937366
218.0000,3.648285
219.0000,8.299058
220.0000,4.295294
221.0000,-0.763969
222.0000,9.682469
223.0000,1.152086
224.0000,4.694278
225.0000,4.836774
226.0000,0.330382
227.0000,1.259301
228.0000,-11.900784
229.0000,4.456640
230.0000,-9.850560
231.0000,-2.886707
232.0000,-4.790126
233.0000,6.326420
234.0000,5.466563
235.0000,-9.457306
236.0000,8.166692
237.0000,-2.350098
238.0000,1.875690
239.0000,10.052116
240.0000,-2.886459
241.0000,11.062894
242.0000,15.611962
243.0000,1.853579
244.0000,3.504939
245.0000,-0.146109
246.0000,9.974997
247.0000,-0.752735
248.0000,3.381009
249.0000,-11.390246
250.0000,-6.223223
251.0000,-6.351238
252.0000,7.763501
253.0000,-6.306385
254.0000,-0.781061
255.0000,-0.739901
256.0000,1.734288
257.0000,5.052071
258.0000,-2.204845
259.0000,-1.218157
260.0000,-1.240364
261.0000,0.367056
262.0000,-0.119626
263.0000,1.790748
264.0000,0.586027
265.0000,-4.494745
266.0000,1.880637
267.0000,8.172691
268.0000,-5.565626
269.0000,-2.180692
270.0000,-8.389905
271.0000,-3.446054
272.0000,-9.841611
273.0000,6.847909
274.0000,-9.125643
275.0000,7.408688
276.0000,-9.480163
277.0000,2.883367
278.0000,-1.016128
279.0000,0.055410
280.0000,5.476143
281.0000,9.254293
282.0000,4.020419
283.0000,-3.022481
284.0000,-2.697598
285.0000,5.951013
286.0000,-1.740136
287.0000,2.861445
288.0000,2.594132
289.0000,0.243875
290.0000,7.633363
291.0000,-7.133566
292.0000,2.347013
293.0000,-1.777067
294.0000,-3.634660
295.0000,2.991412
296.0000,-1.282336
297.0000,-1.888472
298.0000,12.008029
299.0000,-13.029033
300.0000,-11.900414
301.0000,4.797092
302.0000,-9.790151
303.0000,-7.931289
304.0000,1.268035
305.0000,-0.039586
306.0000,0.891956
307.0000,-0.610261
308.0000,1.587868
309.0000,0.747556
310.0000,5.892663
311.0000,-1.112059
312.0000,5.565487
313.0000,8.413432
314.0000,-11.236359
315.0000,8.062792
316.0000,-2.101628
317.0000,-0.569352
318.0000,14.530268
319.0000,4.108259
320.0000,5.521541
321.0000,2.045510
322.0000,9.852112
323.0000,-5.802698
324.0000,3.044534
325.0000,-3.989582
326.0000,5.275372
327.0000,5.482489
328.0000,3.113902
329.0000,-10.837471
330.0000,-5.941948
331.0000,-1.226540
332.0000,6.530279
333.0000,0.486743
334.0000,-0.593836
335.0000,0.160965
336.0000,6.663256
337.0000,8.238213
338.0000,-7.478539
339.0000,-11.028270
340.0000,11.749431
341.0000,2.655668
342.0000,10.706231
343.0000,5.892452
344.0000,-4.729878
345.0000,-13.143571
346.0000,2.867673
347.0000,0.172414
348.0000,-9.439771
349.0000,2.546642
350.0000,3.336299
351.0000,9.806585
352.0000,-2.947979
353.0000,3.294325
354.0000,11.285431
355.0000,0.745028
356.0000,1.962435
357.0000,-5.035263
358.0000,-2.715145
359.0000,7.672425
360.0000,2.133334
361.0000,5.214431
362.0000,-5.090016
363.0000,0.749179
364.0000,-0.032907
365.0000,8.520330
366.0000,2.413353
367.0000,-4.490621
368.0000,1.435873
369.0000,0.048394
370.0000,5.627416
371.0000,0.675054
372.0000,2.065043
373.0000,5.945352
374.0000,2.796709
375.0000,5.727818
376.0000,12.854822
