x,y,raman_shift_cm-1,intensity
37.800,25.200,200.0000,1.395696
37.800,25.200,201.0000,-1.890155
37.800,25.200,202.0000,5.063455
37.800,25.200,203.0000,-2.147754
37.800,25.200,204.0000,2.847403
37.800,25.200,205.0000,-7.007722
37.800,25.200,206.0000,-4.266627
37.800,25.200,207.0000,6.827591
37.800,25.200,208.0000,-0.693845
37.800,25.200,209.0000,5.278220
37.800,25.200,210.0000,7.212227
37.800,25.200,211.0000,2.363426
37.800,25.200,212.0000,1.560206
37.800,25.200,213.0000,3.645178
37.800,25.200,214.0000,-6.037115
37.800,25.200,215.0000,-7.722149
37.800,25.200,216.0000,4.844411
37.800,25.200,217.0000,7.241529
37.800,25.200,218.0000,-4.121375
37.800,25.200,219.0000,0.879276
37.800,25.200,220.0000,5.241887
37.800,25.200,221.0000,-5.263609
37.800,25.200,222.0000,-8.252246
37.800,25.200,223.0000,-1.317510
37.800,25.200,224.0000,5.476711
37.800,25.200,225.0000,3.333483
37.800,25.200,226.0000,7.222124
37.800,25.200,227.0000,10.599628
37.800,25.200,228.0000,-0.288063
37.800,25.200,229.0000,5.507177
37.800,25.200,230.0000,-3.627472
37.800,25.200,231.0000,4.889889
37.800,25.200,232.0000,1.996662
37.800,25.200,233.0000,-18.301860
37.800,25.200,234.0000,-0.086562
37.800,25.200,235.0000,1.214499
37.800,25.200,236.0000,-5.512037
37.800,25.200,237.0000,-3.998305
37.800,25.200,238.0000,-11.670080
37.800,25.200,239.0000,1.546459
37.800,25.200,240.0000,1.170873
37.800,25.200,241.0000,-3.458224
37.800,25.200,242.0000,-4.757592
37.800,25.200,243.0000,1.992327
37.800,25.200,244.0000,1.573212
37.800,25.200,245.0000,-7.428188
37.800,25.200,246.0000,-1.268089
37.800,25.200,247.0000,6.725083
37.800,25.200,248.0000,-8.964361
37.800,25.200,249.0000,12.889370
37.800,25.200,250.0000,0.048188
37.800,25.200,251.0000,1.449769
37.800,25.200,252.0000,4.198701
37.800,25.200,253.0000,-1.744849
37.800,25.200,254.0000,-7.662551
37.800,25.200,255.0000,-5.558048
37.800,25.200,256.0000,-1.756120
37.800,25.200,257.0000,9.617184
37.800,25.200,258.0000,14.105041
37.800,25.200,259.0000,5.574530
37.800,25.200,260.0000,5.187075
37.800,25.200,261.0000,3.304404
37.800,25.200,262.0000,-12.183388
37.800,25.200,263.0000,4.953773
37.800,25.200,264.0000,-7.385619
37.800,25.200,265.0000,-1.618330
37.800,25.200,266.0000,-5.622722
37.800,25.200,267.0000,-2.892312
37.800,25.200,268.0000,-3.773329
37.800,25.200,269.0000,4.453022
37.800,25.200,270.0000,-2.498501
37.800,25.200,271.0000,8.098519
37.800,25.200,272.0000,-3.876116
37.800,25.200,273.0000,1.927808
37.800,25.200,274.0000,-8.127196
37.800,25.200,275.0000,2.938875
37.800,25.200,276.0000,-0.541617
37.800,25.200,277.0000,-4.668243
37.800,25.200,278.0000,-4.816330
37.800,25.200,279.0000,1.372140
37.800,25.200,280.0000,3.318505
37.800,25.200,281.0000,13.388151
37.800,25.200,282.0000,-3.893360
37.800,25.200,283.0000,0.601108
37.800,25.200,284.0000,8.687281
37.800,25.200,285.0000,-4.499518
37.800,25.200,286.0000,2.417708
37.800,25.200,287.0000,2.697089
37.800,25.200,288.0000,-12.914146
37.800,25.200,289.0000,-10.313161
37.800,25.200,290.0000,-5.186418
37.800,25.200,291.0000,6.371022
37.800,25.200,292.0000,-10.427064
37.800,25.200,293.0000,-4.266617
37.800,25.200,294.0000,-4.623873
37.800,25.200,295.0000,12.507642
37.800,25.200,296.0000,4.712712
37.800,25.200,297.0000,-9.856275
37.800,25.200,298.0000,10.498413
37.800,25.200,299.0000,15.040518
37.800,25.200,300.0000,1.709000
37.800,25.200,301.0000,-1.837172
37.800,25.200,302.0000,-12.405899
37.800,25.200,303.0000,2.354293
37.800,25.200,304.0000,-1.275116
37.800,25.200,305.0000,0.254551
37.800,25.200,306.0000,5.011117
37.800,25.200,307.0000,2.026411
37.800,25.200,308.0000,4.192667
37.800,25.200,309.0000,-10.796676
37.800,25.200,310.0000,1.632788
37.800,25.200,311.0000,-6.561632
37.800,25.200,312.0000,13.347188
37.800,25.200,313.0000,6.274526
37.800,25.200,314.0000,9.138253
37.800,25.200,315.0000,-2.327647
37.800,25.200,316.0000,-9.145254
37.800,25.200,317.0000,-8.844889
37.800,25.200,318.0000,-8.090609
37.800,25.200,319.0000,1.009250
37.800,25.200,320.0000,-2.936165
37.800,25.200,321.0000,18.477904
37.800,25.200,322.0000,-0.898509
37.800,25.200,323.0000,-3.466708
37.800,25.200,324.0000,4.980228
37.800,25.200,325.0000,-10.574380
37.800,25.200,326.0000,2.005168
37.800,25.200,327.0000,3.056413
37.800,25.200,328.0000,4.463375
37.800,25.200,329.0000,0.900996
37.800,25.200,330.0000,2.108954
37.800,25.200,331.0000,-4.911708
37.800,25.200,332.0000,-7.461844
37.800,25.200,333.0000,14.144449
37.800,25.200,334.0000,-9.257411
37.800,25.200,335.0000,6.423814
37.800,25.200,336.0000,-3.223805
37.800,25.200,337.0000,-4.701080
37.800,25.200,338.0000,9.998039
37.800,25.200,339.0000,6.965307
37.800,25.200,340.0000,-2.589648
37.800,25.200,341.0000,-7.145728
37.800,25.200,342.0000,-4.006523
37.800,25.200,343.0000,-5.987480
37.800,25.200,344.0000,3.625940
37.800,25.200,345.0000,7.322802
37.800,25.200,346.0000,5.228119
37.800,25.200,347.0000,4.448586
37.800,25.200,348.0000,-0.929938
37.800,25.200,349.0000,0.461216
37.800,25.200,350.0000,12.059115
37.800,25.200,351.0000,-10.911994
37.800,25.200,352.0000,-5.543319
37.800,25.200,353.0000,0.137339
37.800,25.200,354.0000,3.158260
37.800,25.200,355.0000,-6.384998
37.800,25.200,356.0000,-15.141290
37.800,25.200,357.0000,-11.452595
37.800,25.200,358.0000,6.042475
37.800,25.200,359.0000,-5.161819
37.800,25.200,360.0000,3.276756
37.800,25.200,361.0000,-1.958850
37.800,25.200,362.0000,-3.585662
37.800,25.200,363.0000,-2.276565
37.800,25.200,364.0000,-1.325967
37.800,25.200,365.0000,-4.680194
37.800,25.200,366.0000,-5.284811
37.800,25.200,367.0000,-8.319389
37.800,25.200,368.0000,16.468016
37.800,25.200,369.0000,-6.746786
37.800,25.200,370.0000,-0.718718
37.800,25.200,371.0000,-10.052590
37.800,25.200,372.0000,-3.439618
37.800,25.200,373.0000,-5.383899
37.800,25.200,374.0000,3.227168
37.800,25.200,375.0000,-7.303390
37.800,25.200,376.0000,6.854316
37.800,25.200,377.0000,0.960550
37.800,25.200,378.0000,0.686022
37.800,25.200,379.0000,1.441356
37.800,25.200,380.0000,-0.502712
37.800,25.200,381.0000,-5.343635
37.800,25.200,382.0000,3.054925
37.800,25.200,383.0000,-2.469609
37.800,25.200,384.0000,5.233231
37.800,25.200,385.0000,4.830443
37.800,25.200,386.0000,0.263348
37.800,25.200,387.0000,5.399809
37.800,25.200,388.0000,-5.946857
37.800,25.200,389.0000,0.089634
37.800,25.200,390.0000,7.200241
37.800,25.200,391.0000,7.616166
37.800,25.200,392.0000,2.705096
37.800,25.200,393.0000,-10.252391
37.800,25.200,394.0000,-4.878149
37.800,25.200,395.0000,3.424232
37.800,25.200,396.0000,0.071182
37.800,25.200,397.0000,0.420972
37.800,25.200,398.0000,-5.306254
37.800,25.200,399.0000,-0.839514
37.800,25.200,400.0000,11.440654
37.800,25.200,401.0000,1.336741
