raman_shift_cm-1,intensity
200.0000,2.057234
201.0000,-2.190761
202.0000,1.279146
203.0000,-4.628724
204.0000,8.015473
205.0000,-6.668337
206.0000,-4.772106
207.0000,3.094396
208.0000,0.561192
209.0000,-11.680272
210.0000,-0.358181
211.0000,-4.798442
212.0000,-8.039453
213.0000,3.137815
214.0000,-5.585742
215.0000,0.758284
216.0000,-3.221234
217.0000,3.892444
218.0000,5.633921
219.0000,-5.370753
220.0000,10.941797
221.0000,6.125173
222.0000,2.788375
223.0000,5.753932
224.0000,10.811196
225.0000,5.411231
226.0000,-3.119448
227.0000,5.585753
228.0000,7.472472
229.0000,8.307908
230.0000,-4.177800
231.0000,1.030719
232.0000,-8.532667
233.0000,-0.879317
234.0000,-2.184921
235.0000,3.529108
236.0000,0.094200
237.0000,8.443591
238.0000,1.244428
239.0000,-4.246258
240.0000,-4.548733
241.0000,-2.220955
242.0000,-4.927185
243.0000,-0.474409
244.0000,-7.503835
245.0000,-13.638535
246.0000,5.870540
247.0000,-5.489122
248.0000,-4.215722
249.0000,-4.428446
250.0000,0.015412
251.0000,10.999165
252.0000,-8.863043
253.0000,6.831509
254.0000,1.345873
255.0000,-5.848731
256.0000,-6.885780
257.0000,-5.777973
258.0000,-6.050679
259.0000,-3.071871
260.0000,6.097756
261.0000,8.388181
262.0000,3.184110
263.0000,7.080986
264.0000,0.615933
265.0000,-6.739178
266.0000,5.649721
267.0000,4.035218
268.0000,-1.788951
269.0000,6.469068
270.0000,-2.813085
271.0000,5.934016
272.0000,-0.824148
273.0000,-3.482440
274.0000,6.972261
275.0000,-3.024747
276.0000,-1.988371
277.0000,6.778468
278.0000,7.746741
279.0000,10.219896
280.0000,-11.178527
281.0000,6.320612
282.0000,-8.773523
283.0000,5.622400
284.0000,1.613640
285.0000,-9.148846
286.0000,2.321896
287.0000,-1.841410
288.0000,-3.923729
289.0000,0.206644
290.0000,-3.031781
291.0000,-0.952054
292.0000,-3.742074
293.0000,7.147528
294.0000,-3.474207
295.0000,6.342156
296.0000,9.121889
297.0000,-6.564876
298.0000,0.204003
299.0000,-7.820549
300.0000,7.510442
301.0000,-3.639550
302.0000,2.241615
303.0000,-2.343493
304.0000,-6.451262
305.0000,-1.434808
306.0000,-3.140544
307.0000,0.191752
308.0000,5.840247
309.0000,-0.819076
310.0000,-0.624169
311.0000,-1.731082
312.0000,-10.481081
