spectrum_id,material,raman_shift_cm-1,intensity
PS_01,polystyrene,200.0000,0.072777
PS_01,polystyrene,201.0000,0.072997
PS_01,polystyrene,202.0000,0.073218
PS_01,polystyrene,203.0000,0.073440
PS_01,polystyrene,204.0000,0.073663
PS_01,polystyrene,205.0000,0.073888
PS_01,polystyrene,206.0000,0.074114
PS_01,polystyrene,207.0000,0.074341
PS_01,polystyrene,208.0000,0.074569
PS_01,polystyrene,209.0000,0.074799
PS_01,polystyrene,210.0000,0.075029
PS_01,polystyrene,211.0000,0.075261
PS_01,polystyrene,212.0000,0.075495
PS_01,polystyrene,213.0000,0.075729
PS_01,polystyrene,214.0000,0.075965
PS_01,polystyrene,215.0000,0.076202
PS_01,polystyrene,216.0000,0.076441
PS_01,polystyrene,217.0000,0.076680
PS_01,polystyrene,218.0000,0.076921
PS_01,polystyrene,219.0000,0.077164
PS_01,polystyrene,220.0000,0.077407
PS_01,polystyrene,221.0000,0.077652
PS_01,polystyrene,222.0000,0.077899
PS_01,polystyrene,223.0000,0.078147
PS_01,polystyrene,224.0000,0.078396
PS_01,polystyrene,225.0000,0.078646
PS_01,polystyrene,226.0000,0.078899
PS_01,polystyrene,227.0000,0.079152
PS_01,polystyrene,228.0000,0.079407
PS_01,polystyrene,229.0000,0.079663
PS_01,polystyrene,230.0000,0.079921
PS_01,polystyrene,231.0000,0.080180
PS_01,polystyrene,232.0000,0.080441
PS_01,polystyrene,233.0000,0.080703
PS_01,polystyrene,234.0000,0.080967
PS_01,polystyrene,235.0000,0.081232
PS_01,polystyrene,236.0000,0.081499
PS_01,polystyrene,237.0000,0.081768
PS_01,polystyrene,238.0000,0.082038
PS_01,polystyrene,239.0000,0.082309
PS_01,polystyrene,240.0000,0.082583
PS_01,polystyrene,241.0000,0.082857
PS_01,polystyrene,242.0000,0.083134
PS_01,polystyrene,243.0000,0.083412
PS_01,polystyrene,244.0000,0.083691
PS_01,polystyrene,245.0000,0.083973
PS_01,polystyrene,246.0000,0.084256
PS_01,polystyrene,247.0000,0.084541
PS_01,polystyrene,248.0000,0.084827
PS_01,polystyrene,249.0000,0.085115
PS_01,polystyrene,250.0000,0.085405
PS_01,polystyrene,251.0000,0.085697
PS_01,polystyrene,252.0000,0.085991
PS_01,polystyrene,253.0000,0.086286
PS_01,polystyrene,254.0000,0.086583
PS_01,polystyrene,255.0000,0.086882
PS_01,polystyrene,256.0000,0.087183
PS_01,polystyrene,257.0000,0.087485
PS_01,polystyrene,258.0000,0.087790
PS_01,polystyrene,259.0000,0.088096
PS_01,polystyrene,260.0000,0.088404
PS_01,polystyrene,261.0000,0.088715
PS_01,polystyrene,262.0000,0.089027
PS_01,polystyrene,263.0000,0.089341
PS_01,polystyrene,264.0000,0.089657
PS_01,polystyrene,265.0000,0.089975
PS_01,polystyrene,266.0000,0.090296
PS_01,polystyrene,267.0000,0.090618
PS_01,polystyrene,268.0000,0.090942
PS_01,polystyrene,269.0000,0.091269
PS_01,polystyrene,270.0000,0.091597
PS_01,polystyrene,271.0000,0.091928
PS_01,polystyrene,272.0000,0.092260
PS_01,polystyrene,273.0000,0.092595
PS_01,polystyrene,274.0000,0.092933
PS_01,polystyrene,275.0000,0.093272
PS_01,polystyrene,276.0000,0.093613
PS_01,polystyrene,277.0000,0.093957
PS_01,polystyrene,278.0000,0.094303
PS_01,polystyrene,279.0000,0.094652
PS_01,polystyrene,280.0000,0.095003
PS_01,polystyrene,281.0000,0.095356
PS_01,polystyrene,282.0000,0.095711
PS_01,polystyrene,283.0000,0.096069
PS_01,polystyrene,284.0000,0.096429
PS_01,polystyrene,285.0000,0.096792
PS_01,polystyrene,286.0000,0.097157
PS_01,polystyrene,287.0000,0.097525
PS_01,polystyrene,288.0000,0.097895
PS_01,polystyrene,289.0000,0.098268
PS_01,polystyrene,290.0000,0.098643
PS_01,polystyrene,291.0000,0.099021
PS_01,polystyrene,292.0000,0.099402
PS_01,polystyrene,293.0000,0.099785
PS_01,polystyrene,294.0000,0.100171
PS_01,polystyrene,295.0000,0.100559
PS_01,polystyrene,296.0000,0.100951
PS_01,polystyrene,297.0000,0.101345
PS_01,polystyrene,298.0000,0.101742
PS_01,polystyrene,299.0000,0.102141
PS_01,polystyrene,300.0000,0.102544
PS_01,polystyrene,301.0000,0.102949
PS_01,polystyrene,302.0000,0.103358
PS_01,polystyrene,303.0000,0.103769
PS_01,polystyrene,304.0000,0.104183
PS_01,polystyrene,305.0000,0.104601
PS_01,polystyrene,306.0000,0.105021
PS_01,polystyrene,307.0000,0.105445
PS_01,polystyrene,308.0000,0.105871
PS_01,polystyrene,309.0000,0.106301
PS_01,polystyrene,310.0000,0.106734
PS_01,polystyrene,311.0000,0.107170
PS_01,polystyrene,312.0000,0.107610
PS_01,polystyrene,313.0000,0.108052
PS_01,polystyrene,314.0000,0.108499
PS_01,polystyrene,315.0000,0.108948
PS_01,polystyrene,316.0000,0.109401
PS_01,polystyrene,317.0000,0.109857
